keyword,line1,line2,line3,line4,line5,score,type
school,There was a lucky boy named rae,Who got a great deal on his birthday.,"He wanted a football,","And he went to the ball,",And that is the story of this play.,-2.7284389426631313,DTS_STORY
working,There once was a nice lady named theodore,Whose life got much better than before.,"She went out one morning,","In a little mourning,",And sat on the elevated floor.,-3.714629707513032,SINGLE_NO_STORY
applaud,There once was a nice lady named hugh,Whose heart wished always better than you.,"She was out one morning,","In a quiet mourning,",And sat on the beautiful statue.,-4.396062831083934,SINGLE_NO_STORY
opera,There once was a nice lady named theodore,Whose heart sang much better than before.,"She was out one morning,","In a quiet mourning,",And sat on the comfortable floor.,-3.9630273624702737,SINGLE_NO_STORY
scary,There was a stupid witch named jolie,Whose name actually surprised me.,"There is stuff like a book,","She actually took,",As it turned out two books in her tree.,-4.200551271488491,SINGLE_STORY
loss,There was a honest man named dwight,Who lost all his money in a fight.,"His friends were so upset,","They were willing to bet,",So they gave up and quit on the night.,-3.0383582065987866,DTS_STORY
blood,There was a nasty man named britt,Whose name really elevated it.,"There is stuff like a kid,","He actually did,",As it turned out three times in his bit.,-4.404341515852138,SINGLE_STORY
noble,There was a wise soldier named deedee,Whose memory never betrayed thee.,"There is love like a dream,","It usually seem,",As it came out three times in his knee.,-4.6460225369249075,SINGLE_STORY
leader,There was a fierce soldier named rae,Who helped a young woman on her way.,"In the woods that he led,","He was struck by a thread,",And he fell down and suffered his day.,-3.165149547836997,DTS_STORY
smart,There was a smart lady named my,Who put a big smile on our eye.,"So beautiful and kind,","She was easy to find,",And that is the beauty of this guy.,-2.8150477134312193,DTS_STORY
animal,There was a silly boy named ray,Who made all his money in a day.,"The father of his cat,","He was killed by a bat,",And the son on the side of the way.,-2.9959135859301598,DTS_STORY
weight,There was a chunky girl named grace,Who put a big smile on our face.,"We got back from the mass,","And we went to the pass,",And we sat down and took our pace.,-2.9130362874517837,DTS_STORY
planet,There was a warrior named britt,Whose family also believed it.,"There is proof like a sword,","She actually roared,",As she took out two swords in her kit.,-4.284976665462766,SINGLE_STORY
airplane,There once was a nice lady named theodore,Whose name stuck much better than before.,"She lived out one bedroom,","In a tiny bathroom,",And slept on the comfortable floor.,-3.4704636997646756,SINGLE_NO_STORY
fall,There was a shy man named theodore,Who lost all his money in a war.,"He came back from the dead,","With a gun on his head,",With his wife and son outside the door.,-2.3895811682397667,DTS_NO_STORY
cunning,There was a sly liar named ai,Who fooled all his family in a lie.,"His parents were so cruel,","He was told by his school,",They killed their own children and one eye.,-3.4836070965975523,DTS_STORY
water,There once was a nice lady named theodore,Whose hair flowed much longer than before.,"She looked out one morning,","In a little mourning,",And saw on the elevated floor.,-4.04650220937199,SINGLE_NO_STORY
love,There was a lucky girl named fay,Who got a great deal on her birthday.,"Her parents were so sweet,","She was happy to eat,",She was able to sleep and to play.,-2.781942043198092,DTS_STORY
boxing,There once was a man named theodore,Who lost all his money in a war.,"He came back from the fight,","He was able to write,",He was even the author he wore.,-3.179044059718088,DTS_STORY
union,There once was a nice lady named theodore,Whose work paid much better than before.,"She was out one morning,","In a quiet mourning,",And came on the funeral outdoor.,-4.163752850559023,SINGLE_NO_STORY
market,There was a wise farmer named laure,Whose family never sold before.,"There is life like a dream,","It actually seem,",As he went out two nights in his store.,-4.365663141012192,SINGLE_STORY
philosophy,There was a professor named hyun,Whose work really inspired someone.,"There is stuff like a book,","He actually took,",As he put out two books in his run.,-4.343643701502255,SINGLE_STORY
working,There was a technician named nam,Who did a great job on our program.,"He came back from the start,","He 's a man of heart,",He does the things in life that i am.,-2.937053748570821,DTS_STORY
loss,There once was a nice lady named theodore,Whose hair fell much longer than before.,"She was out one morning,","In a quiet mourning,",And came on the funeral outdoor.,-4.037712735158426,SINGLE_NO_STORY
boxing,There was a fierce actor named loree,Whose character never watched tv.,"There is fire like a flame,","It literally came,",As it were out three times in his knee.,-4.242976267422948,SINGLE_STORY
disease,There was a general named tyree,Who suffered a great wound on his knee.,"He came back from the pain,","And he went to the train,",And he saw somebody again see.,-3.2250036251160408,DTS_STORY
park,There was a funny boy named rea,Who rode a white horse on his birthday.,"The day of our ride,","It was raining outside,",So we got up and drove on the way.,-2.8050800888769087,DTS_STORY
angry,There was a loud lady named britt,Who shouted out our names for a bit.,"She came back from the hell,","I was able to tell,",With a great deal of blood on her spit.,-3.039120109533101,DTS_STORY
disease,There once was a nice lady named javier,Whose name spread much farther than elsewhere.,"She came out one morning,","In a lovely mourning,",And sat on the imperial chair.,-3.943520888134285,SINGLE_NO_STORY
body,There was a nervous girl named zack,Who carried a big bag on her back.,"With her feet on the ground,","She was caught by a sound,",And she looked down and saw her backpack.,-2.6104188854947235,DTS_NO_STORY
rich,There was a greedy man named brande,Who made a great fortune on his land.,"His children were so sweet,","They were afraid to eat,",So they went up and slept on the stand.,-2.9834496341645718,DTS_STORY
dog,There once was a nice lady named theodore,Whose hair got much longer than before.,"She went out one morning,","In a sudden mourning,",And fell on the funeral outdoor.,-3.7094689232331737,SINGLE_NO_STORY
market,There once was a nice lady named theodore,Whose work sold much better than before.,"She was out one morning,","In a quiet mourning,",And came on the funeral outdoor.,-4.175598419374889,SINGLE_NO_STORY
dog,There was a lucky boy named pei,Who got all his money in a day.,"He came back from the pit,","And he went to the bit,",And he sat down and had his birthday.,-2.9344889602877875,DTS_STORY
creativity,There was a designer named yee,Whose work really motivated me.,"There is stuff like a book,","He actually took,",As it turned out two books in his tree.,-4.162337852459002,SINGLE_STORY
impressive,There once was a man named gaye,Who helped a young woman on her way.,"He asked for her record,","Which he found in the board,","But she refused and he walked , halfway.",-3.3858724599704146,DTS_STORY
flower,There once was a nice lady named yer,Whose house rose somewhere higher than her.,"She lived out one bedroom,","In a tiny bathroom,",And sat on the elevated spur.,-3.962367609695152,SINGLE_NO_STORY
time,There once was a doctor named lore,Whose family never came before.,"There is life like a dream,","It actually seem,",As she found out three times in her war.,-4.440344763653619,SINGLE_STORY
law,There was a harsh judge named chase,Who brought a new trial on my case.,"I was on the outside,","But i still felt inside,",And that is the beauty of this place.,-2.727136188937772,DTS_NO_STORY
night,There was a bright girl named clyde,Whose mother always waited outside.,"There is light like a flame,","She usually came,",As she looked out three times in her stride.,-4.203273568834577,SINGLE_STORY
leader,There was a fierce soldier named tyrone,Who led a great army on his own.,"He fought for his honor,","And his life and honour,",With his body and soul in the bone.,-2.754726661789802,DTS_NO_STORY
planet,There once was a nice lady named chase,Whose soul lived somewhere deeper than space.,"She was out one morning,","In a quiet mourning,",And came on the beautiful staircase.,-4.016667361612673,SINGLE_NO_STORY
car,There was a loud cleaner named pete,Who ran a small shop on our street.,"He came back from the war,","And he went to the store,",And he looked down and saw our feet.,-2.614024039470788,DTS_NO_STORY
fire,There was a fierce boy named mac,Who carried a long sword on his back.,"With his eyes on the sky,","He was ready to die,",So he stood up and put on the sack.,-2.581581923094663,DTS_NO_STORY
scary,There was a nasty girl named lise,Who happened on one of our guys.,"Her parents were so kind,","She was able to find,",Because we were doing our eyes.,-3.4621019744996113,DTS_STORY
love,There once was a nice lady named lee,Whose life got much easier than me.,"She went out one morning,","In a little mourning,",And came on the beautiful sunday.,-3.766185453644505,SINGLE_NO_STORY
useful,There once was a cleaner named joann,Who put all his money in a can.,"He would go to a bar,","Get a drink at his car,",And drive home to his family in van.,-2.861448914715738,DTS_NO_STORY
music,There was a loud boy named jae,Who sang a great song on my birthday.,"He was back from the band,","And he came to the stand,",And he sat down and began his play.,-2.798206166787581,DTS_STORY
animal,There was a silly boy named kit,Whose father actually made it.,"There is stuff like a kid,","He actually did,",As it turned out three times in his bit.,-4.215425818119131,SINGLE_STORY
monster,There once was a nice lady named theodore,Whose hair got much longer than before.,"She went out one morning,","In a sudden mourning,",And fell on the funeral outdoor.,-3.7094689232331737,SINGLE_NO_STORY
rich,There was a greedy man named rea,Who made all his money in a way.,"He would go to a bar,","Have a drink at his car,",And drive home to his family in clay.,-2.745123901150443,DTS_NO_STORY
light,There was a loud man named loree,Whose name immediately led me.,"There is sound like a bell,","It actually fell,",As i looked out two doors in my tree.,-4.353845264230456,SINGLE_STORY
fire,There was a fierce boy named jed,Who carried a big stick on his head.,"When a kid gets his gun,","It 's a lot of fun,",And the guy on the side of the bed.,-2.7173541034845745,DTS_STORY
fall,There once was a man named dwight,Who lost all his money in a fight.,"He came back from the end,","With the help of a friend,",With his wife and daughter in the night.,-2.661301418348695,DTS_STORY
art,There once was a nice lady named salvatore,Whose name meant far better than glory.,"She lived out one summer,","In a little drummer,",And played on the principal story.,-4.2907224225777165,SINGLE_NO_STORY
world,There was a wise man named paul,Who lost all his money in a fall.,"He came back from the dead,","With a gun on his head,",With his wife and daughter in the hall.,-2.397306572533015,DTS_NO_STORY
union,There was a fierce teacher named dwight,Who sought out his students for a fight.,"The night of his protest,","He was stabbed by a guest,",And he fell down and wounded his right.,-3.3053235532715917,DTS_STORY
noble,There was a warrior named brande,Who wished a great deal on our land.,"He asked for our king,","As it was the right thing,",And that is the subject of this stand.,-3.1144895600154996,DTS_STORY
child,There was a cruel girl named chase,Who put a big smile on our face.,"She was on the outside,","And she was to the side,",And she looked down and saw our place.,-2.6796577300410718,DTS_NO_STORY
funeral,There once was a grandpa named maye,Who died a young man on his birthday.,"He was back from the grave,","He was ready to save,",He was prepared to do and to say.,-2.858498213812709,DTS_STORY
weight,There once was a nice lady named theodore,Whose house felt much smaller than before.,"She lived out one bedroom,","In a tiny bathroom,",And slept on the comfortable floor.,-3.2845373815960355,SINGLE_NO_STORY
cheat,There once was a liar named ruthann,Who put all his money in a can.,"He would go to a bar,","He would order a car,",And that is the story of this man.,-2.719316919334233,DTS_NO_STORY
smart,There once was a nice lady named lee,Whose name meant somewhat better than me.,"She lived out one bedroom,","In a little bathroom,",And slept on the previous sunday.,-3.7890061559500516,SINGLE_NO_STORY
blood,There once was a nice lady named theodore,Whose dress showed much better than before.,"She was out one morning,","In a little mourning,",And came on the fashionable shore.,-3.9492286532013505,SINGLE_NO_STORY
color,There once was a cleaner named cruz,Who used a hot iron on his shoes.,"With his feet on the floor,","He was caught by a door,",So he got up and put on the news.,-2.873812140787349,DTS_NO_STORY
death,There was a brave boy named mac,Who suffered a great wound on his back.,"He came back from the dead,","With a scar on his head,",And the blood on the floor of the shack.,-2.3970805516137794,DTS_NO_STORY
smart,There was a smart lady named annette,Who put all her money in a bet.,"She would go to a bar,","And she went to the car,",And that is the story of this debt.,-2.917510717204123,DTS_NO_STORY
rich,There was a greedy man named kit,Whose father actually made it.,"There is life like a dream,","I actually scream,",As i put out two fires in my pit.,-4.324500186102731,SINGLE_STORY
blood,There was a nasty man named rea,Who drank all his money in a day.,"He came back from the pain,","And he went to the train,",With his wife and daughter in the way.,-2.8965335560567453,DTS_STORY
world,There once was a nice lady named lee,Whose soul lived somewhere higher than me.,"She was out one morning,","In a quiet mourning,",And came on the beautiful sunday.,-3.9878721678698503,SINGLE_NO_STORY
cunning,There was a sly liar named jay,Who fooled all his family in a way.,"He was back from the dead,","He was ready to lead,",He was prepared to fight and to play.,-2.9083406114950776,DTS_NO_STORY
violent,There was a harsh man named laure,Who killed all his family in a war.,"He came back from the dead,","With a scar on his head,",With his wife and son outside the door.,-2.4229272767675645,DTS_NO_STORY
sports,There was a stupid boy named margarete,Who owned a small shop on our street.,"He wore a baseball cap,","And he came to the tap,",With a big stack of beer on his feet.,-2.727339616172354,DTS_NO_STORY
forest,There once was a nice lady named kurt,Whose skin scrub absorbs better than dirt.,"She was out one morning,","In a quiet mourning,",And came on the beautiful desert.,-4.69659215349842,SINGLE_NO_STORY
working,There was a smart teacher named sam,Who did a great job on our program.,"He was on the tv,","He 's a friend of me,",And he came down and watched our programme.,-2.709259395953268,DTS_NO_STORY
evil,There once was a nice lady named lee,Whose son thought much easier than me.,"He went out one morning,","In a heavy mourning,",And called on the venerable tree.,-3.7224203017022877,SINGLE_NO_STORY
light,There once was a nice lady named lee,Whose life seemed much happier than me.,"She lived out one summer,","In a little drummer,",And played on the funeral sunday.,-3.9843220291314303,SINGLE_NO_STORY
cunning,There once was a nice lady named brent,Whose life cursed almost worse than torment.,"She was out one morning,","In a quiet mourning,",And stumbled on the little convent.,-4.414245674455607,SINGLE_NO_STORY
war,There was a cruel man named kit,Whose family still occupied it.,"There is death like a wind,","It suddenly inclined,",As it went out three times towards his pit.,-4.662461646965572,SINGLE_STORY
body,There was a nervous girl named chun,Whose mother always needed someone.,"There is life like a dream,","It actually seem,",As she looked out three times towards her son.,-4.407879697425025,SINGLE_STORY
home,There was a woman named brande,Who had a small baby on her hand.,"She would come to a place,","With a child on her face,",With a large bag of food on her stand.,-2.741795338690281,DTS_STORY
ball,There once was a nice lady named lee,Whose dress made much happier than me.,"She was out one morning,","In a little mourning,",And came on the beautiful sunday.,-3.97885051480046,SINGLE_NO_STORY
car,There was a loud cleaner named pete,Who ran a small shop on our street.,"The day of our ride,","We were met by our guide,",And we went down and saw our fleet.,-2.964098447933793,DTS_STORY
evil,There was a cruel witch named chun,Whose mother always hated someone.,"There is fear like a beast,","She constantly increased,",As she saw out two lives in her one.,-4.526613899639675,SINGLE_STORY
disease,There was a general named dewitt,Whose wife also inherited it.,"There is love like a dream,","It actually seem,",As he went out two nights in his pit.,-4.543201497622898,SINGLE_STORY
hope,There once was a girl named loan,Who wanted a good time on her own.,"It was for her birthday,","And she went to the play,",And she fell down and broke her backbone.,-2.7579613474663347,DTS_NO_STORY
flower,There was a bright boy named grace,Who cut a big smile on our face.,"He was back from the tree,","We were happy to see,",And he came down and took our place.,-2.9663683557882905,DTS_STORY
philosophy,There once was a nice lady named son,Whose name meant perhaps better than none.,"She lived out one summer,","In a little drummer,",And played on the neighboring shotgun.,-4.376724499243277,SINGLE_NO_STORY
fall,There once was a nice lady named lee,Whose life seemed much happier than me.,"She lived out one summer,","In a lovely drummer,",And played on the beautiful tv.,-4.086739250907192,SINGLE_NO_STORY
forest,There once was a man named brande,Who covered an area of land.,"He would go to a bar,","Get a drink at his car,",And drive home to his girlfriend in hand.,-2.8565820551687673,DTS_NO_STORY
music,There once was a nice lady named theodore,Whose death brought forth greater than before.,"She went out one morning,","In a sudden mourning,",And fell on the miserable floor.,-3.6571328662059925,SINGLE_NO_STORY
water,There was a neat cleaner named chase,Who put a big smile on our face.,"He came back from the sea,","He was able to see,",And that is the beauty of this place.,-2.598764077243686,DTS_STORY
smart,There was a smart lady named yee,Whose work really motivated me.,"There is stuff like a book,","She actually took,",As it turned out two books in her tree.,-4.08844693771763,SINGLE_STORY
random,There once was a nice lady named son,Whose name meant perhaps better than none.,"She was out one morning,","In a quiet mourning,",And called on the venerable one.,-3.9958069125811257,SINGLE_NO_STORY
useful,There once was a nice lady named lee,Whose life proved much happier than me.,"She lived out one summer,","In a little drummer,",And played on the funeral sunday.,-4.07744343302868,SINGLE_NO_STORY
applaud,There was a humble judge named rae,Who welcomed a young man on his way.,"She asked for his address,","His name and his progress,",And he came down and met her halfway.,-2.969020990594741,DTS_NO_STORY
school,There once was a nice lady named yer,Whose house had always older than her.,"She lived out one bedroom,","In a tiny bathroom,",And was on the regular transfer.,-3.7821051235552186,SINGLE_NO_STORY
rich,There once was a nice lady named salvatore,Whose name meant far better than glory.,"She lived out one summer,","In a little drummer,",And played on the principal story.,-4.290722731638838,SINGLE_NO_STORY
park,There was a lively man named clyde,Who stayed a long time on our side.,"He was back from the war,","And he came to the door,","Sat down , and was invited inside.",-2.6956126946024597,DTS_NO_STORY
angry,There once was a nice lady named javier,Whose house scared much better than nowhere.,"She lived out one bedroom,","In a tiny bathroom,",And sat on the comfortable chair.,-3.9747552584718773,SINGLE_NO_STORY
school,There was a stupid boy named freda,Who had a pet monkey on his head.,"He would go to a bar,","Get a drink at his car,",And come home to his mother in bed.,-2.595766752055197,DTS_NO_STORY
doctor,There once was a nice lady named lee,Whose house had always better than me.,"It was out one morning,","In a quiet mourning,",And was on the beautiful sunday.,-4.026580611864726,SINGLE_NO_STORY
cheat,There once was a liar named dewitt,Whose family never forgot it.,"There is truth like a dream,","It usually seem,",As it came out three times in his spit.,-4.471367414508547,SINGLE_STORY
weight,There was a doctor named hyun,Whose family also lost someone.,"There is pain like a wound,","She actually found,",As she looked out three times towards her son.,-4.174142433064325,SINGLE_STORY
child,There was a cruel girl named britt,Whose family never allowed it.,"There is blood like a lake,","It literally shake,",As she cried out three times in her fit.,-4.359702677599022,SINGLE_STORY
war,There once was a soldier named brande,Who fought a great battle on our land.,"He came back from the fight,","And he went to the light,",And he sat down and took our hand.,-2.6566853685812517,DTS_STORY
market,There was a wise farmer named brande,Who managed a small farm on his land.,"The story of his rise,","And fall through our eyes,",With a great deal of time on his hand.,-2.848585522500798,DTS_STORY
