1_keyword,1_line1,1_line2,1_line3,1_line4,1_line5,1_score,1_type,2_keyword,2_line1,2_line2,2_line3,2_line4,2_line5,2_score,2_type,3_keyword,3_line1,3_line2,3_line3,3_line4,3_line5,3_score,3_type,4_keyword,4_line1,4_line2,4_line3,4_line4,4_line5,4_score,4_type
promise,There was a vain lady named Chun,Whose mother always wanted someone.,"There is love like a vow,","She finally somehow,",As she sat out two days in her one.,-4.885689399072102,SINGLE_STORY,promise,There was a liar named Chun,Who intended on loving someone.,"But it ended badly,","A horrible sadly,",And since then has absolutely none.,-4.543593095696491,SINGLE_NO_STORY,promise,There was a honest boy named Stan,Who did a good job on our plan.,"When I got to know him,","He's a friend of jim,",And I think that his wife is a fan.,-2.675185145700679,DTS_NO_STORY,promise,There was a vain lady named Gay,Who did all her sewing in a day.,"When she started to doubt,","Her mother gave a shout,",And she sat down and began her way.,-3.236124021391715,DTS_STORY
random,There once was a lady named Lorelei,Whose death happened earlier and why.,"I briefly got so mad,","I threw something at brad,",And now he has a permanent eye.,-4.117835272635732,SINGLE_NO_STORY,random,There was a lady named Bridgette,Who noticed a strange man on her street.,"When she tried to call him,","His voice sounded so dim,",It was hard to get a clear heartbeat.,-2.639369298936799,DTS_NO_STORY,random,There was a funny girl named Bridgette,Who noticed a strange man on her street.,"When she went to someone,","She was met by a gun,",And that is the story of this sweet.,-3.171718506142497,DTS_STORY,random,There was a funny girl named Aimee,Whose name always interrupted me.,"There is stuff like a bit,","I actually quit,",As I found out two years in her three.,-4.504924399512155,SINGLE_STORY
applaud,There was a polite judge named Reed,Who disappointed so much indeed.,"That when us insist,","To justify enlist,",It was through the fear and supposed need.,-5.606150660514832,SINGLE_STORY,applaud,There was a polite judge named Rey,Who welcomed a young girl on her way.,"When she arrived to praise,","She was struck by his gaze,",And even a little bit him say.,-3.7440522293890677,DTS_STORY,applaud,There was a wise bully named Max,Who impressed on one of our backs.,"A kind hearted fellow,","Once said of the yellow,",When he saw there was one amongst sacks.,-4.360905012180066,SINGLE_NO_STORY,applaud,There was a lady named Monet,Who wished for a little time to pray.,"When she came to do so,","She was struck by a blow,",With a great deal of pain on its way.,-2.64085412239108,DTS_NO_STORY
alien,There once was a witch named Francoise,Who imagined a new world and was.,"While her story ended,","The universe blended,",And was reborn inside our laws.,-4.287365939617157,SINGLE_NO_STORY,alien,There was a cruel witch named Yer,Whose soul trapped a demon within her.,"When she tried to break free,","She was crushed by a tree,",And she once again wished that she were.,-2.7361633490072563,DTS_NO_STORY,alien,There was a cruel witch named Grace,Who trapped all my family in a place.,"It was like a nightmare,","All the sounds in the air,",And I had to move to a new space.,-2.7953323703823667,DTS_STORY,alien,There was a cunning witch named Simone,Who imagined on one of her own.,"A woman called scary,","Not scared of the ferry,",When she thought there was one nearby known.,-4.398506925023836,SINGLE_STORY
weight,There was a wise doctor named Marquerite,Who put a blind fold on our feet.,"When she came to us,","She had come by a bus,",And it was now like midnight of heat.,-3.0567917418666184,DTS_NO_STORY,weight,There was a wise boxer named Dwight,Who lost all his money in a fight.,"He decided to lose,","Which he did in the news,",But he thought he was doing it right.,-2.516256675604851,DTS_STORY,weight,There was a doctor named Monique,Who put out my symptoms for a week.,"So important and stress,","Were the days that I guess,",That no treatment was enough but weak.,-4.425837542613348,SINGLE_STORY,weight,There was a doctor named Ines,Who felt as she was on a process.,"She came back from the womb,","With the baby costume,",And the mask on the side of the dress.,-3.3698882441967726,SINGLE_NO_STORY
disease,There was a stubborn nurse named Hye,Who suffered for a long time to die.,"When she returned to life,","She was told by her wife,",She was able to get a new eye.,-2.6990561138954945,DTS_NO_STORY,disease,There was a nasty nurse named Rose,Who suffered on one of our shows.,"A character called pain,","Actually got of the plane,",When it landed there was one bad nose.,-4.165240499480017,SINGLE_STORY,disease,There was a stubborn nurse named Gaye,Who suffered a fatal stroke each day.,"When she awoke to pain,","She was struck by a train,",So she had to lie down on the way.,-2.9709309972822666,DTS_STORY,disease,There was a cruel nurse named Renee,Who spread out my ashes for a day.,"So beautiful and sad,","Were the thoughts that I had,",That no woman was worthy but they.,-3.7701343218485515,SINGLE_NO_STORY
dawn,There was a bright girl named Lea,Whose birthday lit a fire in me.,"When I went to see her,","I was shocked by her fur,",And the hair on the side of the tree.,-2.610710015972004,DTS_NO_STORY,dawn,There was a harsh girl named Kay,"Who disappeared, its just as you say.","Two girls and a baby,","Two boys and a maybe,",Have all been my friends in my school day.,-3.8796799667179585,SINGLE_NO_STORY,dawn,There was a harsh girl named Rosalee,Whose name lit a fire within me.,"I felt for her shadows,","A shadow who came close,",To whisper sweet kisses on me she.,-3.866744464327549,SINGLE_STORY,dawn,There once was a boy named Javier,Who slept all his life in a nightmare.,"When he woke to daylight,","He was afraid to fight,",And he had to flee to a big bear.,-2.818722643889487,DTS_STORY
traffic,There was a nasty judge named Abigail,Whose husband caused a riot in jail.,"It was for her boyfriend,","A guy who had girlfriend,",To get free drugs on us wholesale.,-4.074585129474771,SINGLE_NO_STORY,traffic,There was a smart judge named Rose,Who noticed on one of our shows.,"A woman called access,","Then got of the address,",When she saw there were two female goes.,-4.368434075651498,SINGLE_STORY,traffic,There was a smart judge named Grace,Who noticed a strange thing on my face.,"I was on the highway,","But it was the wrong way,",And I had to get to a safe place.,-2.673752936449918,DTS_STORY,traffic,There was a loud lawyer named Lyle,Who blocked out our voices for a while.,"When we tried to call him,","He answered on a whim,",And we had to go to a new dial.,-2.737870115222353,DTS_NO_STORY
born,There was a farmer named Brande,Who grew a small garden on her land.,"The neighbor of her son,","He was killed by a gun,",So she had to move down on the band.,-2.9254053722728384,DTS_STORY,born,There once was a woman named Simone,Who lived a perfect life on her own.,"When she went to college,","She had so much knowledge,",She was able to get a good loan.,-2.5377262352980794,DTS_NO_STORY,born,There was a brave woman named Kay,Who died on one of our birthday.,"A friend introduced her,","Then told of the transfer,",When he saw there were two dead friday.,-4.019697787946668,SINGLE_NO_STORY,born,There was a farmer named Javier,Who lived on material welfare.,"But he wanted offspring,","A particular thing,",And since then is actually there.,-4.566348905148714,SINGLE_STORY
opera,There was a artist named Jolie,Whose work really fascinated me.,"There is stuff like a scene,","I actually mean,",As she drew out two birds in her sea.,-4.195312781791602,SINGLE_STORY,opera,There was a lame actress named Willow,Who played a young girl on our show.,"When we got to know her,","Her story was a blur,",So we had to cut down on the flow.,-2.6129103393265694,DTS_NO_STORY,opera,There once was a actress named Jo,Who played a big role on our show.,"The rest of our cast,","Which we had in the past,",We were lucky to have and to know.,-2.6276904614642262,DTS_STORY,opera,There was a writer named Sheree,Who sang on american tv.,"But she hated singing,","A terrible ringing,",And since then is usually me.,-4.7282381005909135,SINGLE_NO_STORY
