id|text
0|From fairest creatures we desire increase ,
1|That thereby beauty 's rose might never die ,
2|But as the riper should by time decease ,
3|His tender heir might bear his memory :
4|But thou , contracted to thine own bright eyes ,
5|Feed ` st thy light 's flame with self-substantial fuel ,
6|Making a famine where abundance lies ,
7|Thy self thy foe , to thy sweet self too cruel :
8|Thou that art now the world 's fresh ornament ,
9|And only herald to the gaudy spring ,
10|Within thine own bud buriest thy content ,
11|And tender churl mak ` st waste in niggarding :
12|Pity the world , or else this glutton be ,
13|To eat the world 's due , by the grave and thee .
14|When forty winters shall besiege thy brow ,
15|And dig deep trenches in thy beauty 's field ,
16|Thy youth 's proud livery so gazed on now ,
17|Will be a tatter 'd weed of small worth held :
18|Then being asked , where all thy beauty lies ,
19|Where all the treasure of thy lusty days ;
20|To say , within thine own deep sunken eyes ,
21|Were an all-eating shame , and thriftless praise .
22|How much more praise deserv 'd thy beauty 's use ,
23|If thou couldst answer ` This fair child of mine
24|Shall sum my count , and make my old excuse , '
25|Proving his beauty by succession thine !
26|This were to be new made when thou art old ,
27|And see thy blood warm when thou feel ` st it cold .
28|Look in thy glass and tell the face thou viewest
29|Now is the time that face should form another ;
30|Whose fresh repair if now thou not renewest ,
31|Thou dost beguile the world , unbless some mother .
32|For where is she so fair whose unear 'd womb
33|Disdains the tillage of thy husbandry ?
34|Or who is he so fond will be the tomb ,
35|Of his self-love to stop posterity ?
36|Thou art thy mother 's glass and she in thee
37|Calls back the lovely April of her prime ;
38|So thou through windows of thine age shalt see ,
39|Despite of wrinkles this thy golden time .
40|But if thou live , remember 'd not to be ,
41|Die single and thine image dies with thee .
42|Unthrifty loveliness , why dost thou spend
43|Upon thy self thy beauty 's legacy ?
44|Nature 's bequest gives nothing , but doth lend ,
45|And being frank she lends to those are free :
46|Then , beauteous niggard , why dost thou abuse
47|The bounteous largess given thee to give ?
48|Profitless usurer , why dost thou use
49|So great a sum of sums , yet canst not live ?
50|For having traffic with thy self alone ,
51|Thou of thy self thy sweet self dost deceive :
52|Then how when nature calls thee to be gone ,
53|What acceptable audit canst thou leave ?
54|Thy unused beauty must be tombed with thee ,
55|Which , used , lives th ' executor to be .
56|Those hours , that with gentle work did frame
57|The lovely gaze where every eye doth dwell ,
58|Will play the tyrants to the very same
59|And that unfair which fairly doth excel ;
60|For never-resting time leads summer on
61|To hideous winter , and confounds him there ;
62|Sap checked with frost , and lusty leaves quite gone ,
63|Beauty o'er-snowed and bareness every where :
64|Then were not summer 's distillation left ,
65|A liquid prisoner pent in walls of glass ,
66|Beauty 's effect with beauty were bereft ,
67|Nor it , nor no remembrance what it was :
68|But flowers distill 'd , though they with winter meet ,
69|Leese but their show ; their substance still lives sweet .
70|Then let not winter 's ragged hand deface ,
71|In thee thy summer , ere thou be distill 'd :
72|Make sweet some vial ; treasure thou some place
73|With beauty 's treasure ere it be self-kill 'd .
74|That use is not forbidden usury ,
75|Which happies those that pay the willing loan ;
76|That 's for thy self to breed another thee ,
77|Or ten times happier , be it ten for one ;
78|Ten times thy self were happier than thou art ,
79|If ten of thine ten times refigur 'd thee :
80|Then what could death do if thou shouldst depart ,
81|Leaving thee living in posterity ?
82|Be not self-will 'd , for thou art much too fair
83|To be death 's conquest and make worms thine heir .
84|Lo ! in the orient when the gracious light
85|Lifts up his burning head , each under eye
86|Doth homage to his new-appearing sight ,
87|Serving with looks his sacred majesty ;
88|And having climb 'd the steep-up heavenly hill ,
89|Resembling strong youth in his middle age ,
90|Yet mortal looks adore his beauty still ,
91|Attending on his golden pilgrimage :
92|But when from highmost pitch , with weary car ,
93|Like feeble age , he reeleth from the day ,
94|The eyes , ` fore duteous , now converted are
95|From his low tract , and look another way :
96|So thou , thyself outgoing in thy noon :
97|Unlook 'd , on diest unless thou get a son .
98|Music to hear , why hear ` st thou music sadly ?
99|Sweets with sweets war not , joy delights in joy :
100|Why lov ` st thou that which thou receiv ` st not gladly ,
101|Or else receiv ` st with pleasure thine annoy ?
102|If the true concord of well-tuned sounds ,
103|By unions married , do offend thine ear ,
104|They do but sweetly chide thee , who confounds
105|In singleness the parts that thou shouldst bear .
106|Mark how one string , sweet husband to another ,
107|Strikes each in each by mutual ordering ;
108|Resembling sire and child and happy mother ,
109|Who , all in one , one pleasing note do sing :
110|Whose speechless song being many , seeming one ,
111|Sings this to thee : ` Thou single wilt prove none . '
112|Is it for fear to wet a widow 's eye ,
113|That thou consum ` st thy self in single life ?
114|Ah ! if thou issueless shalt hap to die ,
115|The world will wail thee like a makeless wife ;
116|The world will be thy widow and still weep
117|That thou no form of thee hast left behind ,
118|When every private widow well may keep
119|By children 's eyes , her husband 's shape in mind :
120|Look ! what an unthrift in the world doth spend
121|Shifts but his place , for still the world enjoys it ;
122|But beauty 's waste hath in the world an end ,
123|And kept unused the user so destroys it .
124|No love toward others in that bosom sits
125|That on himself such murd ` rous shame commits .
126|For shame ! deny that thou bear ` st love to any ,
127|Who for thy self art so unprovident .
128|Grant , if thou wilt , thou art belov 'd of many ,
129|But that thou none lov ` st is most evident :
130|For thou art so possess 'd with murderous hate ,
131|That ` gainst thy self thou stick ` st not to conspire ,
132|Seeking that beauteous roof to ruinate
133|Which to repair should be thy chief desire .
134|O ! change thy thought , that I may change my mind :
135|Shall hate be fairer lodg 'd than gentle love ?
136|Be , as thy presence is , gracious and kind ,
137|Or to thyself at least kind-hearted prove :
138|Make thee another self for love of me ,
139|That beauty still may live in thine or thee .
140|As fast as thou shalt wane , so fast thou grow ` st ,
141|In one of thine , from that which thou departest ;
142|And that fresh blood which youngly thou bestow ` st ,
143|Thou mayst call thine when thou from youth convertest ,
144|Herein lives wisdom , beauty , and increase ;
145|Without this folly , age , and cold decay :
146|If all were minded so , the times should cease
147|And threescore year would make the world away .
148|Let those whom nature hath not made for store ,
149|Harsh , featureless , and rude , barrenly perish :
150|Look , whom she best endow 'd , she gave thee more ;
151|Which bounteous gift thou shouldst in bounty cherish :
152|She carv 'd thee for her seal , and meant thereby ,
153|Thou shouldst print more , not let that copy die .
154|When I do count the clock that tells the time ,
155|And see the brave day sunk in hideous night ;
156|When I behold the violet past prime ,
157|And sable curls , all silvered o'er with white ;
158|When lofty trees I see barren of leaves ,
159|Which erst from heat did canopy the herd ,
160|And summer 's green all girded up in sheaves ,
161|Borne on the bier with white and bristly beard ,
162|Then of thy beauty do I question make ,
163|That thou among the wastes of time must go ,
164|Since sweets and beauties do themselves forsake
165|And die as fast as they see others grow ;
166|And nothing ` gainst Time 's scythe can make defence
167|Save breed , to brave him when he takes thee hence .
168|O ! that you were your self ; but , love you are
169|No longer yours , than you your self here live :
170|Against this coming end you should prepare ,
171|And your sweet semblance to some other give :
172|So should that beauty which you hold in lease
173|Find no determination ; then you were
174|Yourself again , after yourself 's decease ,
175|When your sweet issue your sweet form should bear .
176|Who lets so fair a house fall to decay ,
177|Which husbandry in honour might uphold ,
178|Against the stormy gusts of winter 's day
179|And barren rage of death 's eternal cold ?
180|O ! none but unthrifts . Dear my love , you know ,
181|You had a father : let your son say so .
182|Not from the stars do I my judgement pluck ;
183|And yet methinks I have astronomy ,
184|But not to tell of good or evil luck ,
185|Of plagues , of dearths , or seasons ' quality ;
186|Nor can I fortune to brief minutes tell ,
187|Pointing to each his thunder , rain and wind ,
188|Or say with princes if it shall go well
189|By oft predict that I in heaven find :
190|But from thine eyes my knowledge I derive ,
191|And constant stars in them I read such art
192|As ` Truth and beauty shall together thrive ,
193|If from thyself , to store thou wouldst convert ' ;
194|Or else of thee this I prognosticate :
195|` Thy end is truth 's and beauty 's doom and date . '
196|When I consider every thing that grows
197|Holds in perfection but a little moment ,
198|That this huge stage presenteth nought but shows
199|Whereon the stars in secret influence comment ;
200|When I perceive that men as plants increase ,
201|Cheered and checked even by the self-same sky ,
202|Vaunt in their youthful sap , at height decrease ,
203|And wear their brave state out of memory ;
204|Then the conceit of this inconstant stay
205|Sets you most rich in youth before my sight ,
206|Where wasteful Time debateth with decay
207|To change your day of youth to sullied night ,
208|And all in war with Time for love of you ,
209|As he takes from you , I engraft you new .
210|But wherefore do not you a mightier way
211|Make war upon this bloody tyrant , Time ?
212|And fortify your self in your decay
213|With means more blessed than my barren rhyme ?
214|Now stand you on the top of happy hours ,
215|And many maiden gardens , yet unset ,
216|With virtuous wish would bear you living flowers ,
217|Much liker than your painted counterfeit :
218|So should the lines of life that life repair ,
219|Which this , Time 's pencil , or my pupil pen ,
220|Neither in inward worth nor outward fair ,
221|Can make you live your self in eyes of men .
222|To give away yourself , keeps yourself still ,
223|And you must live , drawn by your own sweet skill .
224|Who will believe my verse in time to come ,
225|If it were fill 'd with your most high deserts ?
226|Though yet heaven knows it is but as a tomb
227|Which hides your life , and shows not half your parts .
228|If I could write the beauty of your eyes ,
229|And in fresh numbers number all your graces ,
230|The age to come would say ` This poet lies ;
231|Such heavenly touches ne'er touch 'd earthly faces . '
232|So should my papers , yellow 'd with their age ,
233|Be scorn 'd , like old men of less truth than tongue ,
234|And your true rights be term 'd a poet 's rage
235|And stretched metre of an antique song :
236|But were some child of yours alive that time ,
237|You should live twice , -- in it , and in my rhyme .
238|Shall I compare thee to a summer 's day ?
239|Thou art more lovely and more temperate :
240|Rough winds do shake the darling buds of May ,
241|And summer 's lease hath all too short a date :
242|Sometime too hot the eye of heaven shines ,
243|And often is his gold complexion dimm 'd ,
244|And every fair from fair sometime declines ,
245|By chance , or nature 's changing course untrimm 'd :
246|But thy eternal summer shall not fade ,
247|Nor lose possession of that fair thou ow ` st ,
248|Nor shall death brag thou wander ` st in his shade ,
249|When in eternal lines to time thou grow ` st ,
250|So long as men can breathe , or eyes can see ,
251|So long lives this , and this gives life to thee .
252|Devouring Time , blunt thou the lion 's paws ,
253|And make the earth devour her own sweet brood ;
254|Pluck the keen teeth from the fierce tiger 's jaws ,
255|And burn the long-liv 'd phoenix , in her blood ;
256|Make glad and sorry seasons as thou fleets ,
257|And do whate'er thou wilt , swift-footed Time ,
258|To the wide world and all her fading sweets ;
259|But I forbid thee one most heinous crime :
260|O ! carve not with thy hours my love 's fair brow ,
261|Nor draw no lines there with thine antique pen ;
262|Him in thy course untainted do allow
263|For beauty 's pattern to succeeding men .
264|Yet , do thy worst old Time : despite thy wrong ,
265|My love shall in my verse ever live young .
266|A woman 's face with nature 's own hand painted ,
267|Hast thou , the master mistress of my passion ;
268|A woman 's gentle heart , but not acquainted
269|With shifting change , as is false women 's fashion :
270|An eye more bright than theirs , less false in rolling ,
271|Gilding the object whereupon it gazeth ;
272|A man in hue all ` hues ' in his controlling ,
273|Which steals men 's eyes and women 's souls amazeth .
274|And for a woman wert thou first created ;
275|Till Nature , as she wrought thee , fell a-doting ,
276|And by addition me of thee defeated ,
277|By adding one thing to my purpose nothing .
278|But since she prick 'd thee out for women 's pleasure ,
279|Mine be thy love and thy love 's use their treasure .
280|So is it not with me as with that Muse ,
281|Stirr 'd by a painted beauty to his verse ,
282|Who heaven itself for ornament doth use
283|And every fair with his fair doth rehearse ,
284|Making a couplement of proud compare .
285|With sun and moon , with earth and sea 's rich gems ,
286|With April 's first-born flowers , and all things rare ,
287|That heaven 's air in this huge rondure hems .
288|O ! let me , true in love , but truly write ,
289|And then believe me , my love is as fair
290|As any mother 's child , though not so bright
291|As those gold candles fix 'd in heaven 's air :
292|Let them say more that like of hearsay well ;
293|I will not praise that purpose not to sell .
294|My glass shall not persuade me I am old ,
295|So long as youth and thou are of one date ;
296|But when in thee time 's furrows I behold ,
297|Then look I death my days should expiate .
298|For all that beauty that doth cover thee ,
299|Is but the seemly raiment of my heart ,
300|Which in thy breast doth live , as thine in me :
301|How can I then be elder than thou art ?
302|O ! therefore love , be of thyself so wary
303|As I , not for myself , but for thee will ;
304|Bearing thy heart , which I will keep so chary
305|As tender nurse her babe from faring ill .
306|Presume not on thy heart when mine is slain ,
307|Thou gav ` st me thine not to give back again .
308|As an unperfect actor on the stage ,
309|Who with his fear is put beside his part ,
310|Or some fierce thing replete with too much rage ,
311|Whose strength 's abundance weakens his own heart ;
312|So I , for fear of trust , forget to say
313|The perfect ceremony of love 's rite ,
314|And in mine own love 's strength seem to decay ,
315|O'ercharg 'd with burthen of mine own love 's might .
316|O ! let my looks be then the eloquence
317|And dumb presagers of my speaking breast ,
318|Who plead for love , and look for recompense ,
319|More than that tongue that more hath more express 'd .
320|O ! learn to read what silent love hath writ :
321|To hear with eyes belongs to love 's fine wit .
322|Mine eye hath play 'd the painter and hath stell 'd ,
323|Thy beauty 's form in table of my heart ;
324|My body is the frame wherein ` tis held ,
325|And perspective it is best painter 's art .
326|For through the painter must you see his skill ,
327|To find where your true image pictur 'd lies ,
328|Which in my bosom 's shop is hanging still ,
329|That hath his windows glazed with thine eyes .
330|Now see what good turns eyes for eyes have done :
331|Mine eyes have drawn thy shape , and thine for me
332|Are windows to my breast , where-through the sun
333|Delights to peep , to gaze therein on thee ;
334|Yet eyes this cunning want to grace their art ,
335|They draw but what they see , know not the heart .
336|Let those who are in favour with their stars
337|Of public honour and proud titles boast ,
338|Whilst I , whom fortune of such triumph bars
