figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Chiasmus,"Pity",12,0,4,"VB","VB",4,"Piti"
0,1,Chiasmus,"the",12,4,7,"DT","DT",2,"the"
0,2,Chiasmus,"world",12,7,12,"NN","NN",2,"world"
0,3,Chiasmus,"the",13,5,8,"DT","DT",1,"the"
0,4,Chiasmus,"world",13,8,13,"NN","NN",1,"world"
0,5,Chiasmus,"'s",13,13,15,"VBZ","VB",4,"'s"
1,0,Chiasmus,"is",29,3,5,"VBZ","VB",7,"is"
1,1,Chiasmus,"the",29,5,8,"DT","DT",5,"the"
1,2,Chiasmus,"time",29,8,12,"NN","NN",5,"time"
1,3,Chiasmus,"the",31,15,18,"DT","DT",1,"the"
1,4,Chiasmus,"world",31,18,23,"NN","NN",1,"world"
1,5,Chiasmus,"unbless",31,24,31,"VBZ","VB",4,"unbless"
2,0,Chiasmus,"if",40,3,5,"IN","IN",4,"if"
2,1,Chiasmus,"thou",40,5,9,"PRP","WP",2,"thou"
2,2,Chiasmus,"live",40,9,13,"VBP","VB",2,"live"
2,3,Chiasmus,"dies",41,22,26,"VBZ","VB",3,"di"
2,4,Chiasmus,"with",41,26,30,"IN","IN",2,"with"
2,5,Chiasmus,"thee",41,30,34,"PRP","WP",1,"thee"
3,0,Chiasmus,"bequest",44,8,15,"NN","NN",3,"bequest"
3,1,Chiasmus,"gives",44,15,20,"VBZ","VB",2,"give"
3,2,Chiasmus,"nothing",44,20,27,"NN","NN",1,"noth"
3,3,Chiasmus,"dost",46,25,29,"NN","NN",2,"dost"
3,4,Chiasmus,"thou",46,29,33,"VBZ","VB",2,"thou"
3,5,Chiasmus,"abuse",46,33,38,"NN","NN",1,"abus"
4,0,Chiasmus,"Then",46,0,4,"RB","RB",5,"Then"
4,1,Chiasmus,"beauteous",46,5,14,"NNS","NN",5,"beauteou"
4,2,Chiasmus,"niggard",46,14,21,"VBD","VB",5,"niggard"
4,3,Chiasmus,"Profitless",48,0,10,"VBZ","VB",4,"Profitless"
4,4,Chiasmus,"usurer",48,10,16,"NN","NN",3,"usur"
4,5,Chiasmus,"why",48,17,20,"WRB","RB",2,"why"
