figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Isocolon,"tender",11,3,9,"NN","NN",4,"tender"
0,1,Isocolon,"churl",11,9,14,"NN","NN",4,"churl"
0,2,Isocolon,"st",11,18,20,"NN","NN",2,"st"
0,3,Isocolon,"waste",11,20,25,"NN","NN",2,"wast"
1,0,Isocolon,"Pity",12,0,4,"VB","VB",4,"Piti"
1,1,Isocolon,"the",12,4,7,"DT","DT",2,"the"
1,2,Isocolon,"world",12,7,12,"NN","NN",2,"world"
1,3,Isocolon,"eat",13,2,5,"VB","VB",2,"eat"
1,4,Isocolon,"the",13,5,8,"DT","DT",1,"the"
1,5,Isocolon,"world",13,8,13,"NN","NN",1,"world"
2,0,Isocolon,"the",12,4,7,"DT","DT",2,"the"
2,1,Isocolon,"world",12,7,12,"NN","NN",2,"world"
2,2,Isocolon,"the",13,5,8,"DT","DT",1,"the"
2,3,Isocolon,"world",13,8,13,"NN","NN",1,"world"
2,4,Isocolon,"the",13,21,24,"DT","DT",1,"the"
2,5,Isocolon,"grave",13,24,29,"NN","NN",1,"grave"
3,0,Isocolon,"forty",14,4,9,"JJ","JJ",3,"forti"
3,1,Isocolon,"winters",14,9,16,"NNS","NN",3,"winter"
3,2,Isocolon,"deep",15,6,10,"JJ","JJ",3,"deep"
3,3,Isocolon,"trenches",15,10,18,"NNS","NN",3,"trench"
3,4,Isocolon,"small",17,21,26,"JJ","JJ",1,"small"
3,5,Isocolon,"worth",17,26,31,"NN","NN",1,"worth"
4,0,Isocolon,"an",21,4,6,"DT","DT",1,"an"
4,1,Isocolon,"all-eating",21,6,16,"JJ","JJ",1,"all-eat"
4,2,Isocolon,"shame",21,16,21,"NN","NN",1,"shame"
4,3,Isocolon,"This",23,20,24,"DT","DT",2,"Thi"
4,4,Isocolon,"fair",23,24,28,"JJ","JJ",2,"fair"
4,5,Isocolon,"child",23,28,33,"NN","NN",2,"child"
5,0,Isocolon,"my",24,8,10,"PRP$","WP",2,"my"
5,1,Isocolon,"count",24,10,15,"NN","NN",2,"count"
5,2,Isocolon,"his",25,7,10,"PRP$","WP",2,"hi"
5,3,Isocolon,"beauty",25,10,16,"NN","NN",2,"beauti"
5,4,Isocolon,"thy",27,6,9,"PRP$","WP",7,"thy"
5,5,Isocolon,"blood",27,9,14,"NN","NN",7,"blood"
5,6,Isocolon,"thy",28,6,9,"PRP$","WP",1,"thy"
5,7,Isocolon,"glass",28,9,14,"NN","NN",1,"glass"
6,0,Isocolon,"the",29,5,8,"DT","DT",5,"the"
6,1,Isocolon,"time",29,8,12,"NN","NN",5,"time"
6,2,Isocolon,"the",31,15,18,"DT","DT",1,"the"
6,3,Isocolon,"world",31,18,23,"NN","NN",1,"world"
6,4,Isocolon,"some",31,31,35,"DT","DT",4,"some"
6,5,Isocolon,"mother",31,35,41,"NN","NN",4,"mother"
6,6,Isocolon,"the",33,8,11,"DT","DT",2,"the"
6,7,Isocolon,"tillage",33,11,18,"NN","NN",2,"tillag"
6,8,Isocolon,"the",34,21,24,"DT","DT",1,"the"
6,9,Isocolon,"tomb",34,24,28,"NN","NN",1,"tomb"
7,0,Isocolon,"beguile",31,8,15,"VB","VB",2,"beguil"
7,1,Isocolon,"the",31,15,18,"DT","DT",1,"the"
7,2,Isocolon,"world",31,18,23,"NN","NN",1,"world"
7,3,Isocolon,"unbless",31,24,31,"VBZ","VB",4,"unbless"
7,4,Isocolon,"some",31,31,35,"DT","DT",4,"some"
7,5,Isocolon,"mother",31,35,41,"NN","NN",4,"mother"
8,0,Isocolon,"whose",32,19,24,"WP$","WP",3,"whose"
8,1,Isocolon,"unear",32,24,29,"NN","NN",2,"unear"
8,2,Isocolon,"thy",33,20,23,"PRP$","WP",1,"thy"
8,3,Isocolon,"husbandry",33,23,32,"NN","NN",1,"husbandri"
9,0,Isocolon,"thine",41,12,17,"PRP$","WP",3,"thine"
9,1,Isocolon,"image",41,17,22,"NN","NN",3,"imag"
9,2,Isocolon,"thy",43,4,7,"PRP$","WP",1,"thy"
9,3,Isocolon,"self",43,7,11,"NN","NN",1,"self"
9,4,Isocolon,"thy",43,11,14,"PRP$","WP",2,"thy"
9,5,Isocolon,"beauty",43,14,20,"NN","NN",2,"beauti"
10,0,Isocolon,"'s",43,20,22,"VBZ","VB",2,"'s"
10,1,Isocolon,"legacy",43,22,28,"NN","NN",1,"legaci"
10,2,Isocolon,"gives",44,15,20,"VBZ","VB",2,"give"
10,3,Isocolon,"nothing",44,20,27,"NN","NN",1,"noth"
10,4,Isocolon,"thou",46,29,33,"VBZ","VB",2,"thou"
10,5,Isocolon,"abuse",46,33,38,"NN","NN",1,"abus"
10,6,Isocolon,"Profitless",48,0,10,"VBZ","VB",4,"Profitless"
10,7,Isocolon,"usurer",48,10,16,"NN","NN",3,"usur"
11,0,Isocolon,"Those",56,0,5,"DT","DT",3,"Those"
