figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Oxymoron,"still",69,32,37,"RB","RB",4,"still"
0,1,Oxymoron,"lives",69,37,42,"VBZ","VB",4,"live"
1,0,Oxymoron,"Or",77,0,2,"VB","VB",3,"Or"
1,1,Oxymoron,"ten",77,2,5,"CD","CD",1,"ten"
1,2,Oxymoron,"times",77,5,10,"NNS","NN",1,"time"
1,3,Oxymoron,"happier",77,10,17,"JJR","JJ",2,"happier"
1,4,Oxymoron,"be",77,18,20,"VB","VB",3,"be"
1,5,Oxymoron,"it",77,20,22,"PRP","WP",2,"it"
1,6,Oxymoron,"ten",77,22,25,"CD","CD",3,"ten"
1,7,Oxymoron,"for",77,25,28,"IN","IN",3,"for"
1,8,Oxymoron,"one",77,28,31,"CD","CD",2,"on"
2,0,Oxymoron,"Lifts",85,0,5,"VBZ","VB",4,"Lift"
2,1,Oxymoron,"head",85,17,21,"NN","NN",3,"head"
3,0,Oxymoron,"unions",103,2,8,"NNS","NN",3,"union"
3,1,Oxymoron,"married",103,8,15,"JJ","JJ",3,"marri"
4,0,Oxymoron,"unused",123,7,13,"JJ","JJ",2,"unus"
4,1,Oxymoron,"user",123,16,20,"NN","NN",2,"user"
5,0,Oxymoron,"still",139,10,15,"RB","RB",4,"still"
5,1,Oxymoron,"live",139,18,22,"VB","VB",3,"live"
6,0,Oxymoron,"coming",170,11,17,"JJ","JJ",4,"come"
6,1,Oxymoron,"end",170,17,20,"NN","NN",4,"end"
7,0,Oxymoron,"hold",172,26,30,"VBP","VB",3,"hold"
7,1,Oxymoron,"in",172,30,32,"IN","IN",2,"in"
7,2,Oxymoron,"lease",172,32,37,"NN","NN",1,"leas"
8,0,Oxymoron,"rage",179,9,13,"NN","NN",3,"rage"
8,1,Oxymoron,"of",179,13,15,"IN","IN",3,"of"
8,2,Oxymoron,"death",179,15,20,"NN","NN",1,"death"
8,3,Oxymoron,"'s",179,20,22,"POS","POS",1,"'s"
8,4,Oxymoron,"eternal",179,22,29,"JJ","JJ",2,"etern"
8,5,Oxymoron,"cold",179,29,33,"NN","NN",2,"cold"
9,0,Oxymoron,"it",225,2,4,"PRP","WP",2,"it"
9,1,Oxymoron,"fill",225,8,12,"NN","NN",1,"fill"
10,0,Oxymoron,"succeeding",263,20,30,"VBG","VB",2,"succeed"
