figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Anadiplosis,"one",136,5,8,"CD","CD",1,"on"
0,1,Anadiplosis,"one",137,0,3,"CD","CD",2,"on"
1,0,Anadiplosis,"like",497,8,12,"VB","VB",2,"like"
1,1,Anadiplosis,"him",497,12,15,"PRP","WP",1,"him"
1,2,Anadiplosis,"like",498,0,4,"VB","VB",5,"like"
1,3,Anadiplosis,"him",498,4,7,"PRP","WP",4,"him"
2,0,Anadiplosis,"Love",524,14,18,"NN","NN",1,"Love"
2,1,Anadiplosis,"Love",525,6,10,"NN","NN",3,"Love"
3,0,Anadiplosis,"mine",614,11,15,"NN","NN",1,"mine"
3,1,Anadiplosis,"mine",615,0,4,"PRP","WP",2,"mine"
4,0,Anadiplosis,"best",636,10,14,"JJS","JJ",1,"best"
4,1,Anadiplosis,"best",637,4,8,"JJS","JJ",3,"best"
5,0,Anadiplosis,"love",891,3,7,"VBP","VB",1,"love"
5,1,Anadiplosis,"love",892,3,7,"NN","NN",1,"love"
6,0,Anadiplosis,"one",920,10,13,"NN","NN",1,"on"
6,1,Anadiplosis,"one",921,9,12,"NN","NN",1,"on"
6,2,Anadiplosis,"one",922,0,3,"PRP","WP",1,"on"
7,0,Anadiplosis,"myself",1104,2,8,"PRP","WP",1,"myself"
7,1,Anadiplosis,"myself",1105,9,15,"PRP","WP",3,"myself"
8,0,Anadiplosis,"state",1127,30,35,"NN","NN",1,"state"
8,1,Anadiplosis,"state",1128,2,7,"NN","NN",1,"state"
9,0,Anadiplosis,"all",1319,14,17,"DT","DT",1,"all"
9,1,Anadiplosis,"all",1320,2,5,"RB","RB",1,"all"
10,0,Anadiplosis,"you",1332,27,30,"PRP","WP",1,"you"
10,1,Anadiplosis,"you",1333,3,6,"PRP","WP",2,"you"
11,0,Anadiplosis,"now",1575,0,3,"RB","RB",1,"now"
11,1,Anadiplosis,"Now",1576,0,3,"RB","RB",1,"Now"
12,0,Anadiplosis,"mine",1707,9,13,"NN","NN",1,"mine"
12,1,Anadiplosis,"mine",1708,0,4,"PRP","WP",2,"mine"
13,0,Anadiplosis,"you",1743,10,13,"PRP","WP",1,"you"
13,1,Anadiplosis,"you",1744,0,3,"PRP","WP",4,"you"
14,0,Anadiplosis,"one",1869,34,37,"CD","CD",1,"on"
14,1,Anadiplosis,"one",1870,2,5,"CD","CD",1,"on"
15,0,Anadiplosis,"you",2173,9,12,"PRP","WP",1,"you"
15,1,Anadiplosis,"you",2174,2,5,"PRP","WP",2,"you"
16,0,Anadiplosis,"yours",2178,11,16,"PRP$","WP",1,"your"
16,1,Anadiplosis,"yours",2179,3,8,"PRP$","WP",3,"your"
17,0,Anadiplosis,"music",2305,2,7,"VBZ","VB",1,"music"
17,1,Anadiplosis,"music",2306,0,5,"NN","NN",2,"music"
18,0,Anadiplosis,"action",2319,46,52,"NN","NN",4,"action"
18,1,Anadiplosis,"action",2320,7,13,"NN","NN",1,"action"
19,0,Anadiplosis,"mad",2335,27,30,"JJ","JJ",1,"mad"
19,1,Anadiplosis,"Mad",2336,0,3,"VBG","VB",4,"Mad"
20,0,Anadiplosis,"Will",2443,12,16,"NN","NN",1,"Will"
20,1,Anadiplosis,"Will",2444,4,8,"VBG","VB",4,"Will"
21,0,Anadiplosis,"Will",2465,31,35,"NNP","NN",1,"Will"
21,1,Anadiplosis,"will",2466,3,7,"MD","MD",1,"will"
22,0,Anadiplosis,"Will",2473,1,5,"NNP","NN",1,"Will"
22,1,Anadiplosis,"will",2474,0,4,"MD","MD",4,"will"
23,0,Anadiplosis,"words",2548,16,21,"NNS","NN",1,"word"
23,1,Anadiplosis,"words",2549,3,8,"NNS","NN",4,"word"
24,0,Anadiplosis,"hate",2586,16,20,"VBP","VB",1,"hate"
24,1,Anadiplosis,"Hate",2587,0,4,"RB","RB",1,"Hate"
25,0,Anadiplosis,"hate",2650,1,5,"VBP","VB",1,"hate"
25,1,Anadiplosis,"hate",2651,4,8,"VBP","VB",4,"hate"
26,0,Anadiplosis,"my",2655,11,13,"PRP$","WP",1,"my"
26,1,Anadiplosis,"sinful",2655,13,19,"JJ","JJ",1,"sin"
26,2,Anadiplosis,"earth",2655,19,24,"NN","NN",1,"earth"
26,3,Anadiplosis,"My",2656,0,2,"PRP$","WP",2,"My"
26,4,Anadiplosis,"sinful",2656,2,8,"NN","NN",2,"sin"
26,5,Anadiplosis,"earth",2656,8,13,"VBZ","VB",2,"earth"
27,0,Anadiplosis,"more",2751,32,36,"JJR","JJ",1,"more"
27,1,Anadiplosis,"more",2752,3,7,"JJR","JJ",3,"more"
28,0,Anadiplosis,"water",2831,15,20,"NN","NN",1,"water"
28,1,Anadiplosis,"water",2832,0,5,"NN","NN",2,"water"
