figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Anaphora,"where",23,0,5,"WRB","RB",2,"where"
0,1,Anaphora,"all",23,5,8,"PDT","PDT",1,"all"
0,2,Anaphora,"Where",24,0,5,"WRB","RB",2,"Where"
0,3,Anaphora,"all",24,5,8,"RB","RB",1,"all"
1,0,Anaphora,"when",33,19,23,"WRB","RB",3,"when"
1,1,Anaphora,"thou",33,23,27,"PRP","WP",2,"thou"
1,2,Anaphora,"when",34,18,22,"WRB","RB",6,"when"
1,3,Anaphora,"thou",34,22,26,"PRP","WP",5,"thou"
2,0,Anaphora,"is",39,8,10,"VBZ","VB",9,"is"
2,1,Anaphora,"is",40,5,7,"VBZ","VB",4,"is"
3,0,Anaphora,"why",55,0,3,"WRB","RB",6,"why"
3,1,Anaphora,"dost",55,3,7,"VBP","VB",5,"dost"
3,2,Anaphora,"thou",55,7,11,"PRP","WP",4,"thou"
3,3,Anaphora,"why",57,0,3,"WRB","RB",7,"why"
3,4,Anaphora,"dost",57,3,7,"VB","VB",7,"dost"
3,5,Anaphora,"thou",57,7,11,"PRP","WP",5,"thou"
4,0,Anaphora,"Thou",60,0,4,"PRP","WP",2,"Thou"
4,1,Anaphora,"thou",62,24,28,"PRP","WP",1,"thou"
5,0,Anaphora,"ten",92,2,5,"CD","CD",1,"ten"
5,1,Anaphora,"times",92,5,10,"NNS","NN",1,"time"
5,2,Anaphora,"Ten",94,0,3,"CD","CD",3,"Ten"
5,3,Anaphora,"times",94,3,8,"NNS","NN",3,"time"
6,0,Anaphora,"st",124,7,9,"RB","RB",6,"st"
6,1,Anaphora,"st",124,33,35,"VBP","VB",3,"st"
6,2,Anaphora,"st",125,13,15,"VBP","VB",3,"st"
7,0,Anaphora,"world",146,3,8,"NN","NN",4,"world"
7,1,Anaphora,"will",146,8,12,"MD","MD",4,"will"
7,2,Anaphora,"world",147,3,8,"NN","NN",10,"world"
7,3,Anaphora,"will",147,8,12,"MD","MD",10,"will"
8,0,Anaphora,"thou",161,0,4,"PRP","WP",4,"thou"
8,1,Anaphora,"art",161,4,7,"VBP","VB",4,"art"
8,2,Anaphora,"thou",163,3,7,"PRP","WP",3,"thou"
8,3,Anaphora,"art",163,7,10,"NN","NN",4,"art"
9,0,Anaphora,"st",162,19,21,"NN","NN",2,"st"
9,1,Anaphora,"st",164,28,30,"NN","NN",3,"st"
10,0,Anaphora,"Thou",181,0,4,"PRP","WP",6,"Thou"
10,1,Anaphora,"thou",181,22,26,"VBN","VB",3,"thou"
11,0,Anaphora,"she",196,4,7,"PRP","WP",2,"she"
11,1,Anaphora,"she",197,0,3,"PRP","WP",3,"she"
11,2,Anaphora,"She",199,0,3,"PRP","WP",4,"She"
12,0,Anaphora,"When",203,3,7,"WRB","RB",8,"When"
12,1,Anaphora,"I",203,7,8,"PRP","WP",7,"I"
12,2,Anaphora,"When",205,0,4,"WRB","RB",4,"When"
12,3,Anaphora,"I",205,4,5,"PRP","WP",3,"I"
13,0,Anaphora,"you",234,0,3,"PRP","WP",1,"you"
13,1,Anaphora,"You",235,0,3,"PRP","WP",2,"You"
14,0,Anaphora,"When",253,2,6,"WRB","RB",10,"When"
14,1,Anaphora,"I",253,6,7,"PRP","WP",9,"I"
14,2,Anaphora,"When",255,0,4,"WRB","RB",7,"When"
14,3,Anaphora,"I",255,4,5,"PRP","WP",6,"I"
15,0,Anaphora,"you",264,8,11,"PRP","WP",1,"you"
15,1,Anaphora,"you",265,20,23,"PRP","WP",3,"you"
16,0,Anaphora,"Be",293,0,2,"NNP","NN",1,"Be"
16,1,Anaphora,"be",295,17,19,"VB","VB",2,"be"
17,0,Anaphora,"thou",311,17,21,"PRP","WP",4,"thou"
17,1,Anaphora,"thou",312,24,28,"PRP","WP",4,"thou"
18,0,Anaphora,"I",372,0,1,"PRP","WP",6,"I"
18,1,Anaphora,"I",373,29,30,"PRP","WP",2,"I"
18,2,Anaphora,"I",375,26,27,"PRP","WP",2,"I"
18,3,Anaphora,"I",376,8,9,"PRP","WP",5,"I"
19,0,Anaphora,"to",406,5,7,"TO","TO",6,"to"
