sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,"From",0,4,"IN","IN",2,"From"
0,1,"fairest",4,11,"JJ","JJ",1,"fairest"
0,2,"creatures",11,20,"NNS","NN",1,"creatur"
0,3,"we",20,22,"PRP","WP",2,"we"
0,4,"desire",22,28,"RB","RB",2,"desir"
0,5,"increase",28,36,"VBP","VB",2,"increas"
0,6,",",36,37,",",",",3,","
1,0,"That",0,4,"DT","DT",1,"That"
1,1,"thereby",4,11,"JJ","JJ",1,"therebi"
1,2,"beauty",11,17,"NN","NN",1,"beauti"
1,3,"'s",17,19,"POS","POS",1,"'s"
1,4,"rose",19,23,"NN","NN",1,"rose"
1,5,"might",23,28,"MD","MD",2,"might"
1,6,"never",28,33,"RB","RB",1,"never"
1,7,"die",33,36,"VB","VB",1,"die"
1,8,",",36,37,",",",",3,","
2,0,"But",0,3,"CC","CC",4,"But"
2,1,"as",3,5,"RB","RB",3,"as"
2,2,"the",5,8,"DT","DT",2,"the"
2,3,"riper",8,13,"NN","NN",2,"riper"
2,4,"should",13,19,"MD","MD",3,"should"
2,5,"by",19,21,"IN","IN",2,"by"
2,6,"time",21,25,"NN","NN",1,"time"
2,7,"decease",25,32,"VB","VB",2,"deceas"
2,8,",",32,33,",",",",4,","
3,0,"His",0,3,"PRP$","WP",3,"Hi"
3,1,"tender",3,9,"NN","NN",3,"tender"
3,2,"heir",9,13,"NN","NN",3,"heir"
3,3,"might",13,18,"MD","MD",3,"might"
3,4,"bear",18,22,"VB","VB",2,"bear"
3,5,"his",22,25,"PRP$","WP",1,"hi"
3,6,"memory",25,31,"NN","NN",1,"memori"
3,7,":",31,32,":",":",4,":"
4,0,"But",0,3,"CC","CC",5,"But"
4,1,"thou",3,7,"RB","RB",4,"thou"
4,2,",",7,8,",",",",5,","
4,3,"contracted",8,18,"VBD","VB",4,"contract"
4,4,"to",18,20,"TO","TO",3,"to"
4,5,"thine",20,25,"PRP$","WP",1,"thine"
4,6,"own",25,28,"JJ","JJ",1,"own"
4,7,"bright",28,34,"JJ","JJ",1,"bright"
4,8,"eyes",34,38,"NNS","NN",1,"ey"
4,9,",",38,39,",",",",2,","
5,0,"Feed",0,4,"NNP","NN",3,"Feed"
5,1,"`",4,5,"``","``",3,"`"
5,2,"st",5,7,"VBP","VB",3,"st"
5,3,"thy",7,10,"PRP$","WP",1,"thy"
5,4,"light",10,15,"NN","NN",1,"light"
5,5,"'s",15,17,"POS","POS",1,"'s"
5,6,"flame",17,22,"NN","NN",2,"flame"
5,7,"with",22,26,"IN","IN",2,"with"
5,8,"self-substantial",26,42,"JJ","JJ",1,"self-substanti"
5,9,"fuel",42,46,"NN","NN",1,"fuel"
5,10,",",46,47,",",",",4,","
6,0,"Making",0,6,"VBG","VB",4,"Make"
6,1,"a",6,7,"DT","DT",3,"a"
6,2,"famine",7,13,"NN","NN",3,"famin"
6,3,"where",13,18,"WRB","RB",2,"where"
6,4,"abundance",18,27,"NN","NN",1,"abund"
6,5,"lies",27,31,"VBZ","VB",1,"li"
6,6,",",31,32,",",",",4,","
7,0,"Thy",0,3,"NN","NN",3,"Thy"
7,1,"self",3,7,"NN","NN",3,"self"
7,2,"thy",7,10,"NN","NN",3,"thy"
7,3,"foe",10,13,"NN","NN",3,"foe"
7,4,",",13,14,",",",",4,","
7,5,"to",14,16,"TO","TO",3,"to"
7,6,"thy",16,19,"PRP$","WP",1,"thy"
7,7,"sweet",19,24,"JJ","JJ",1,"sweet"
7,8,"self",24,28,"NN","NN",1,"self"
7,9,"too",28,31,"RB","RB",1,"too"
7,10,"cruel",31,36,"JJ","JJ",1,"cruel"
7,11,":",36,37,":",":",4,":"
8,0,"Thou",0,4,"VBN","VB",5,"Thou"
8,1,"that",4,8,"IN","IN",4,"that"
8,2,"art",8,11,"NN","NN",2,"art"
8,3,"now",11,14,"RB","RB",2,"now"
8,4,"the",14,17,"DT","DT",1,"the"
8,5,"world",17,22,"NN","NN",1,"world"
8,6,"'s",22,24,"POS","POS",1,"'s"
8,7,"fresh",24,29,"JJ","JJ",2,"fresh"
8,8,"ornament",29,37,"NN","NN",2,"ornament"
8,9,",",37,38,",",",",5,","
9,0,"And",0,3,"CC","CC",4,"And"
9,1,"only",3,7,"RB","RB",3,"onli"
9,2,"herald",7,13,"VBZ","VB",3,"herald"
9,3,"to",13,15,"TO","TO",2,"to"
9,4,"the",15,18,"DT","DT",1,"the"
9,5,"gaudy",18,23,"JJ","JJ",1,"gaudi"
9,6,"spring",23,29,"NN","NN",1,"spring"
9,7,",",29,30,",",",",4,","
10,0,"Within",0,6,"IN","IN",2,"Within"
10,1,"thine",6,11,"PRP$","WP",1,"thine"
10,2,"own",11,14,"JJ","JJ",1,"own"
10,3,"bud",14,17,"NN","NN",1,"bud"
10,4,"buriest",17,24,"NN","NN",1,"buriest"
