figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Antimetabole,"thou",28,28,32,"NN","NN",2,"thou"
0,1,Antimetabole,"Now",29,0,3,"RB","RB",7,"Now"
0,2,Antimetabole,"now",30,18,21,"RB","RB",2,"now"
0,3,Antimetabole,"thou",30,21,25,"VBZ","VB",2,"thou"
1,0,Antimetabole,"were",64,4,8,"VBD","VB",3,"were"
1,1,Antimetabole,"Beauty",66,0,6,"NNP","NN",1,"Beauti"
1,2,Antimetabole,"beauty",66,18,24,"NN","NN",1,"beauti"
1,3,Antimetabole,"were",66,24,28,"VBD","VB",3,"were"
2,0,Antimetabole,"ere",71,16,19,"NN","NN",4,"er"
2,1,Antimetabole,"be",71,23,25,"VB","VB",2,"be"
2,2,Antimetabole,"treasure",72,18,26,"NN","NN",1,"treasur"
2,3,Antimetabole,"treasure",73,12,20,"NN","NN",2,"treasur"
2,4,Antimetabole,"ere",73,20,23,"NN","NN",2,"er"
2,5,Antimetabole,"be",73,25,27,"VBP","VB",3,"be"
3,0,Antimetabole,"self",76,12,16,"NN","NN",5,"self"
3,1,Antimetabole,"times",77,5,10,"NNS","NN",1,"time"
3,2,Antimetabole,"times",78,3,8,"NNS","NN",3,"time"
3,3,Antimetabole,"self",78,11,15,"NN","NN",5,"self"
4,0,Antimetabole,"Music",98,0,5,"JJ","JJ",4,"Music"
4,1,Antimetabole,"hear",98,7,11,"VB","VB",1,"hear"
4,2,Antimetabole,"hear",98,15,19,"VBP","VB",2,"hear"
4,3,Antimetabole,"music",98,26,31,"NN","NN",1,"music"
5,0,Antimetabole,"not",99,19,22,"RB","RB",4,"not"
5,1,Antimetabole,"st",100,7,9,"RB","RB",6,"st"
5,2,Antimetabole,"st",100,33,35,"VBP","VB",3,"st"
5,3,Antimetabole,"not",100,35,38,"RB","RB",3,"not"
6,0,Antimetabole,"age",230,3,6,"NN","NN",4,"ag"
6,1,Antimetabole,"'d",231,29,31,"VBD","VB",2,"'d"
6,2,Antimetabole,"'d",232,23,25,"NNP","NN",3,"'d"
6,3,Antimetabole,"'d",233,7,9,"NNP","NN",6,"'d"
6,4,Antimetabole,"'d",234,23,25,"VBD","VB",3,"'d"
6,5,Antimetabole,"age",232,34,37,"NN","NN",1,"ag"
7,0,Antimetabole,"Sometime",242,0,8,"RB","RB",3,"Sometim"
7,1,Antimetabole,"fair",244,8,12,"JJ","JJ",3,"fair"
7,2,Antimetabole,"fair",244,16,20,"JJ","JJ",1,"fair"
7,3,Antimetabole,"sometime",244,20,28,"RB","RB",4,"sometim"
8,0,Antimetabole,"doth",282,26,30,"NN","NN",1,"doth"
8,1,Antimetabole,"fair",283,8,12,"JJ","JJ",3,"fair"
8,2,Antimetabole,"fair",283,19,23,"JJ","JJ",1,"fair"
8,3,Antimetabole,"doth",283,23,27,"NN","NN",1,"doth"
9,0,Antimetabole,"show",361,2,6,"VBP","VB",5,"show"
9,1,Antimetabole,"Then",362,0,4,"NNP","NN",7,"Then"
9,2,Antimetabole,"then",363,4,8,"RB","RB",5,"then"
9,3,Antimetabole,"show",363,12,16,"VB","VB",6,"show"
10,0,Antimetabole,"day",381,3,6,"NN","NN",2,"dai"
10,1,Antimetabole,"night",381,8,13,"NN","NN",1,"night"
10,2,Antimetabole,"night",381,16,21,"NN","NN",1,"night"
10,3,Antimetabole,"day",381,23,26,"NN","NN",1,"dai"
11,0,Antimetabole,"more",547,16,20,"JJR","JJ",1,"more"
11,1,Antimetabole,"hadst",547,28,33,"NN","NN",2,"hadst"
11,2,Antimetabole,"hadst",549,26,31,"VBP","VB",2,"hadst"
11,3,Antimetabole,"more",549,35,39,"RBR","RB",1,"more"
12,0,Antimetabole,"days",600,3,7,"NNS","NN",9,"dai"
12,1,Antimetabole,"nights",600,10,16,"NNS","NN",8,"night"
12,2,Antimetabole,"nights",601,3,9,"JJ","JJ",3,"night"
12,3,Antimetabole,"days",601,15,19,"NNS","NN",3,"dai"
13,0,Antimetabole,"heart",630,10,15,"NN","NN",3,"heart"
13,1,Antimetabole,"heart",632,9,14,"NN","NN",4,"heart"
13,2,Antimetabole,"sight",631,27,32,"NN","NN",1,"sight"
13,3,Antimetabole,"sight",632,26,31,"NN","NN",2,"sight"
13,4,Antimetabole,"heart",633,2,7,"NN","NN",3,"heart"
13,5,Antimetabole,"heart",634,2,7,"NN","NN",7,"heart"
14,0,Antimetabole,"eye",641,8,11,"NN","NN",1,"ey"
14,1,Antimetabole,"eye",642,11,14,"NN","NN",6,"ey"
14,2,Antimetabole,"eye",644,11,14,"NN","NN",1,"ey"
14,3,Antimetabole,"part",641,37,41,"NN","NN",2,"part"
14,4,Antimetabole,"part",642,31,35,"NN","NN",1,"part"
14,5,Antimetabole,"eye",646,12,15,"NN","NN",4,"ey"
14,6,Antimetabole,"eye",648,25,28,"NN","NN",1,"ey"
14,7,Antimetabole,"eye",650,15,18,"NN","NN",3,"ey"
15,0,Antimetabole,"love",848,8,12,"NN","NN",2,"love"
15,1,Antimetabole,"is",848,24,26,"VBZ","VB",5,"is"
15,2,Antimetabole,"is",849,2,4,"VBZ","VB",7,"is"
15,3,Antimetabole,"love",849,6,10,"NN","NN",5,"love"
16,0,Antimetabole,"store",889,10,15,"NN","NN",2,"store"
16,1,Antimetabole,"loss",889,19,23,"NN","NN",1,"loss"
16,2,Antimetabole,"loss",889,27,31,"NN","NN",2,"loss"
16,3,Antimetabole,"store",889,35,40,"NN","NN",1,"store"
17,0,Antimetabole,"part",1027,7,11,"NN","NN",4,"part"
17,1,Antimetabole,"is",1028,29,31,"VBZ","VB",2,"is"
17,2,Antimetabole,"is",1029,8,10,"VBZ","VB",5,"is"
17,3,Antimetabole,"part",1029,25,29,"NN","NN",2,"part"
18,0,Antimetabole,"old",1060,21,24,"JJ","JJ",1,"old"
18,1,Antimetabole,"new",1060,29,32,"JJ","JJ",1,"new"
18,2,Antimetabole,"new",1062,18,21,"JJ","JJ",1,"new"
18,3,Antimetabole,"old",1062,24,27,"JJ","JJ",1,"old"
19,0,Antimetabole,"dost",1088,18,22,"NN","NN",3,"dost"
19,1,Antimetabole,"art",1090,7,10,"VBP","VB",2,"art"
19,2,Antimetabole,"art",1090,15,18,"NN","NN",1,"art"
19,3,Antimetabole,"dost",1090,22,26,"VBP","VB",2,"dost"
20,0,Antimetabole,"did",1148,16,19,"VBD","VB",4,"did"
20,1,Antimetabole,"found",1150,1,6,"VBD","VB",8,"found"
20,2,Antimetabole,"found",1150,17,22,"VBD","VB",5,"found"
20,3,Antimetabole,"did",1150,26,29,"VBD","VB",2,"did"
21,0,Antimetabole,"doth",1154,18,22,"NN","NN",2,"doth"
21,1,Antimetabole,"worth",1155,10,15,"NN","NN",1,"worth"
21,2,Antimetabole,"worth",1155,20,25,"NN","NN",3,"worth"
21,3,Antimetabole,"doth",1155,30,34,"VBP","VB",4,"doth"
22,0,Antimetabole,"show",1301,28,32,"VBP","VB",4,"show"
22,1,Antimetabole,"do",1303,9,11,"VB","VB",6,"do"
22,2,Antimetabole,"do",1303,27,29,"VBP","VB",2,"do"
22,3,Antimetabole,"show",1303,29,33,"NN","NN",1,"show"
23,0,Antimetabole,"thou",1387,8,12,"VBG","VB",5,"thou"
23,1,Antimetabole,"st",1387,31,33,"NN","NN",1,"st"
23,2,Antimetabole,"st",1389,6,8,"JJ","JJ",5,"st"
23,3,Antimetabole,"thou",1389,8,12,"VBG","VB",3,"thou"
24,0,Antimetabole,"Truth",1406,1,6,"NNP","NN",4,"Truth"
24,1,Antimetabole,"Beauty",1407,0,6,"VBG","VB",6,"Beauti"
24,2,Antimetabole,"beauty",1407,15,21,"NN","NN",3,"beauti"
24,3,Antimetabole,"truth",1407,23,28,"NN","NN",4,"truth"
25,0,Antimetabole,"love",1415,2,6,"NN","NN",7,"love"
25,1,Antimetabole,"love",1416,1,5,"VBP","VB",3,"love"
25,2,Antimetabole,"less",1416,8,12,"JJR","JJ",1,"less"
25,3,Antimetabole,"less",1416,19,23,"JJR","JJ",1,"less"
25,4,Antimetabole,"love",1417,4,8,"NN","NN",5,"love"
25,5,Antimetabole,"love",1419,3,7,"NN","NN",4,"love"
26,0,Antimetabole,"'d",1529,3,5,"VBD","VB",7,"'d"
26,1,Antimetabole,"is",1529,34,36,"VBZ","VB",2,"is"
26,2,Antimetabole,"is",1531,10,12,"VBZ","VB",8,"is"
26,3,Antimetabole,"'d",1531,26,28,"NNP","NN",2,"'d"
27,0,Antimetabole,"'d",1529,3,5,"VBD","VB",7,"'d"
27,1,Antimetabole,"most",1529,36,40,"RBS","RB",1,"most"
27,2,Antimetabole,"Most",1531,0,4,"JJS","JJ",11,"Most"
27,3,Antimetabole,"'d",1531,26,28,"NNP","NN",2,"'d"
28,0,Antimetabole,"is",1529,34,36,"VBZ","VB",2,"is"
28,1,Antimetabole,"most",1529,36,40,"RBS","RB",1,"most"
28,2,Antimetabole,"Most",1531,0,4,"JJS","JJ",11,"Most"
28,3,Antimetabole,"is",1531,10,12,"VBZ","VB",8,"is"
29,0,Antimetabole,"fears",1655,8,13,"NNS","NN",5,"fear"
29,1,Antimetabole,"hopes",1655,15,20,"NNS","NN",3,"hope"
29,2,Antimetabole,"hopes",1655,24,29,"NNS","NN",2,"hope"
29,3,Antimetabole,"fears",1655,31,36,"NNS","NN",1,"fear"
30,0,Antimetabole,"lust",1792,2,6,"JJ","JJ",4,"lust"
30,1,Antimetabole,"action",1792,8,14,"NN","NN",1,"action"
30,2,Antimetabole,"action",1792,22,28,"NN","NN",4,"action"
30,3,Antimetabole,"lust",1792,29,33,"NN","NN",4,"lust"
31,0,Antimetabole,"well",1803,15,19,"RB","RB",2,"well"
31,1,Antimetabole,"knows",1803,19,24,"VBZ","VB",2,"know"
31,2,Antimetabole,"knows",1803,32,37,"VBZ","VB",2,"know"
31,3,Antimetabole,"well",1803,37,41,"RB","RB",1,"well"
32,0,Antimetabole,"thine",1860,10,15,"JJ","JJ",2,"thine"
32,1,Antimetabole,"is",1860,26,28,"VBZ","VB",3,"is"
32,2,Antimetabole,"is",1861,26,28,"VBZ","VB",2,"is"
32,3,Antimetabole,"thine",1861,28,33,"JJ","JJ",1,"thine"
33,0,Antimetabole,"be",1864,17,19,"VB","VB",2,"be"
