figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Conduplicatio,"the",12,4,7,"DT","DT",2,"the"
0,1,Conduplicatio,"world",12,7,12,"NN","NN",2,"world"
0,2,Conduplicatio,"the",13,5,8,"DT","DT",1,"the"
0,3,Conduplicatio,"world",13,8,13,"NN","NN",1,"world"
1,0,Conduplicatio,"when",26,19,23,"WRB","RB",3,"when"
1,1,Conduplicatio,"thou",26,23,27,"PRP","WP",2,"thou"
1,2,Conduplicatio,"when",27,18,22,"WRB","RB",6,"when"
1,3,Conduplicatio,"thou",27,22,26,"PRP","WP",5,"thou"
2,0,Conduplicatio,"why",46,22,25,"WRB","RB",3,"why"
2,1,Conduplicatio,"dost",46,25,29,"NN","NN",2,"dost"
2,2,Conduplicatio,"thou",46,29,33,"VBZ","VB",2,"thou"
2,3,Conduplicatio,"why",48,17,20,"WRB","RB",2,"why"
2,4,Conduplicatio,"dost",48,20,24,"NN","NN",1,"dost"
2,5,Conduplicatio,"thou",48,24,28,"NNS","NN",1,"thou"
3,0,Conduplicatio,"thy",50,20,23,"PRP$","WP",1,"thy"
3,1,Conduplicatio,"self",50,23,27,"NN","NN",1,"self"
3,2,Conduplicatio,"thy",51,6,9,"PRP$","WP",1,"thy"
3,3,Conduplicatio,"self",51,9,13,"NN","NN",1,"self"
4,0,Conduplicatio,"thy",76,9,12,"PRP$","WP",5,"thy"
4,1,Conduplicatio,"self",76,12,16,"NN","NN",5,"self"
4,2,Conduplicatio,"thy",78,8,11,"JJ","JJ",4,"thy"
4,3,Conduplicatio,"self",78,11,15,"NN","NN",5,"self"
5,0,Conduplicatio,"ten",77,2,5,"CD","CD",1,"ten"
5,1,Conduplicatio,"times",77,5,10,"NNS","NN",1,"time"
5,2,Conduplicatio,"Ten",78,0,3,"CD","CD",3,"Ten"
5,3,Conduplicatio,"times",78,3,8,"NNS","NN",3,"time"
5,4,Conduplicatio,"ten",79,12,15,"CD","CD",1,"ten"
5,5,Conduplicatio,"times",79,15,20,"NNS","NN",1,"time"
6,0,Conduplicatio,"st",98,20,22,"JJ","JJ",1,"st"
6,1,Conduplicatio,"thou",98,22,26,"CD","CD",1,"thou"
6,2,Conduplicatio,"st",100,7,9,"RB","RB",6,"st"
6,3,Conduplicatio,"thou",100,9,13,"JJ","JJ",6,"thou"
7,0,Conduplicatio,"receiv",100,26,32,"VBZ","VB",1,"receiv"
7,1,Conduplicatio,"st",100,33,35,"VBP","VB",3,"st"
7,2,Conduplicatio,"receiv",101,6,12,"NNP","NN",5,"receiv"
7,3,Conduplicatio,"st",101,13,15,"VBP","VB",3,"st"
8,0,Conduplicatio,"The",115,0,3,"DT","DT",4,"The"
