figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Epanalepsis,"joy",123,0,3,"NN","NN",3,"joi"
0,1,Epanalepsis,"joy",123,13,16,"NN","NN",1,"joi"
1,0,Epanalepsis,"thought",761,0,7,"NN","NN",5,"thought"
1,1,Epanalepsis,"thought",761,24,31,"VBN","VB",1,"thought"
2,0,Epanalepsis,"earth",1294,3,8,"NN","NN",3,"earth"
2,1,Epanalepsis,"earth",1294,18,23,"NN","NN",1,"earth"
3,0,Epanalepsis,"you",1464,15,18,"PRP","WP",2,"you"
3,1,Epanalepsis,"you",1464,21,24,"PRP","WP",1,"you"
4,0,Epanalepsis,"thy",1651,2,5,"PRP$","WP",2,"thy"
4,1,Epanalepsis,"thy",1651,25,28,"VB","VB",1,"thy"
5,0,Epanalepsis,"best",1796,3,7,"RB","RB",2,"best"
5,1,Epanalepsis,"best",1796,9,13,"JJS","JJ",1,"best"
6,0,Epanalepsis,"to",1801,49,51,"TO","TO",8,"to"
6,1,Epanalepsis,"be",1801,51,53,"VB","VB",7,"be"
6,2,Epanalepsis,"to",1801,69,71,"TO","TO",2,"to"
6,3,Epanalepsis,"be",1801,71,73,"VB","VB",1,"be"
7,0,Epanalepsis,"I",2189,0,1,"PRP","WP",4,"I"
7,1,Epanalepsis,"am",2189,1,3,"VBP","VB",4,"am"
7,2,Epanalepsis,"I",2189,7,8,"PRP","WP",1,"I"
7,3,Epanalepsis,"am",2189,8,10,"VBP","VB",1,"am"
8,0,Epanalepsis,"Weeds",2230,0,5,"RB","RB",1,"Weed"
8,1,Epanalepsis,"weeds",2230,10,15,"NNS","NN",1,"weed"
9,0,Epanalepsis,"see",2491,3,6,"VB","VB",5,"see"
9,1,Epanalepsis,"see",2491,17,20,"VBP","VB",1,"see"
10,0,Epanalepsis,"will",2619,2,6,"MD","MD",8,"will"
10,1,Epanalepsis,"Will",2619,32,36,"NNP","NN",1,"Will"
