figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Epizeuxis,"one",136,5,8,"CD","CD",1,"on"
0,1,Epizeuxis,"one",137,0,3,"CD","CD",2,"on"
1,0,Epizeuxis,"like",497,8,12,"VB","VB",2,"like"
1,1,Epizeuxis,"him",497,12,15,"PRP","WP",1,"him"
1,2,Epizeuxis,"like",498,0,4,"VB","VB",5,"like"
1,3,Epizeuxis,"him",498,4,7,"PRP","WP",4,"him"
2,0,Epizeuxis,"mine",614,11,15,"NN","NN",1,"mine"
2,1,Epizeuxis,"mine",615,0,4,"PRP","WP",2,"mine"
3,0,Epizeuxis,"form",743,19,23,"NN","NN",6,"form"
3,1,Epizeuxis,"form",743,23,27,"VB","VB",6,"form"
4,0,Epizeuxis,"one",921,9,12,"NN","NN",1,"on"
4,1,Epizeuxis,"one",922,0,3,"PRP","WP",1,"on"
5,0,Epizeuxis,"none",935,10,14,"NN","NN",1,"none"
5,1,Epizeuxis,"none",936,0,4,"IN","IN",2,"none"
6,0,Epizeuxis,"And",1314,0,3,"CC","CC",6,"And"
6,1,Epizeuxis,"by",1314,3,5,"IN","IN",5,"by"
6,2,Epizeuxis,"and",1314,5,8,"CC","CC",5,"and"
6,3,Epizeuxis,"by",1314,8,10,"IN","IN",5,"by"
7,0,Epizeuxis,"now",1575,0,3,"RB","RB",1,"now"
7,1,Epizeuxis,"Now",1576,0,3,"RB","RB",1,"Now"
8,0,Epizeuxis,"mine",1707,9,13,"NN","NN",1,"mine"
8,1,Epizeuxis,"mine",1708,0,4,"PRP","WP",2,"mine"
9,0,Epizeuxis,"you",1743,10,13,"PRP","WP",1,"you"
9,1,Epizeuxis,"you",1744,0,3,"PRP","WP",4,"you"
10,0,Epizeuxis,"most",1994,16,20,"JJS","JJ",1,"most"
10,1,Epizeuxis,"most",1994,20,24,"RBS","RB",2,"most"
11,0,Epizeuxis,"music",2305,2,7,"VBZ","VB",1,"music"
11,1,Epizeuxis,"music",2306,0,5,"NN","NN",2,"music"
12,0,Epizeuxis,"mad",2335,27,30,"JJ","JJ",1,"mad"
12,1,Epizeuxis,"Mad",2336,0,3,"VBG","VB",4,"Mad"
13,0,Epizeuxis,"Will",2473,1,5,"NNP","NN",1,"Will"
13,1,Epizeuxis,"will",2474,0,4,"MD","MD",4,"will"
14,0,Epizeuxis,"hate",2586,16,20,"VBP","VB",1,"hate"
14,1,Epizeuxis,"Hate",2587,0,4,"RB","RB",1,"Hate"
15,0,Epizeuxis,"my",2655,11,13,"PRP$","WP",1,"my"
15,1,Epizeuxis,"sinful",2655,13,19,"JJ","JJ",1,"sin"
15,2,Epizeuxis,"earth",2655,19,24,"NN","NN",1,"earth"
15,3,Epizeuxis,"My",2656,0,2,"PRP$","WP",2,"My"
15,4,Epizeuxis,"sinful",2656,2,8,"NN","NN",2,"sin"
15,5,Epizeuxis,"earth",2656,8,13,"VBZ","VB",2,"earth"
16,0,Epizeuxis,"water",2831,15,20,"NN","NN",1,"water"
16,1,Epizeuxis,"water",2832,0,5,"NN","NN",2,"water"
