figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Ploce,"might",1,23,28,"MD","MD",2,"might"
0,1,Ploce,"might",3,13,18,"MD","MD",3,"might"
1,0,Ploce,"thy",6,7,10,"PRP$","WP",1,"thy"
1,1,Ploce,"Thy",8,0,3,"NNP","NN",2,"Thy"
1,2,Ploce,"thy",8,7,10,"PRP$","WP",1,"thy"
1,3,Ploce,"thy",9,2,5,"PRP$","WP",1,"thy"
2,0,Ploce,"self",8,3,7,"VBZ","VB",2,"self"
2,1,Ploce,"self",9,10,14,"NN","NN",1,"self"
3,0,Ploce,"world",14,7,12,"NN","NN",1,"world"
3,1,Ploce,"world",16,8,13,"NN","NN",2,"world"
4,0,Ploce,"thy",18,30,33,"PRP$","WP",1,"thy"
4,1,Ploce,"thy",19,20,23,"PRP$","WP",1,"thy"
4,2,Ploce,"Thy",20,0,3,"VB","VB",5,"Thy"
5,0,Ploce,"thy",23,8,11,"PRP$","WP",1,"thy"
5,1,Ploce,"thy",24,21,24,"PRP$","WP",1,"thy"
6,0,Ploce,"praise",28,13,19,"VBP","VB",1,"prais"
6,1,Ploce,"praise",29,11,17,"NN","NN",3,"prais"
7,0,Ploce,"old",31,9,12,"JJ","JJ",1,"old"
7,1,Ploce,"old",33,30,33,"JJ","JJ",1,"old"
8,0,Ploce,"thou",33,23,27,"PRP","WP",2,"thou"
8,1,Ploce,"thou",34,22,26,"PRP","WP",5,"thou"
8,2,Ploce,"thou",35,31,35,"PRP","WP",10,"thou"
8,3,Ploce,"thou",36,21,25,"VBZ","VB",2,"thou"
8,4,Ploce,"Thou",37,0,4,"PRP","WP",3,"Thou"
9,0,Ploce,"thy",34,6,9,"PRP$","WP",7,"thy"
9,1,Ploce,"thy",35,9,12,"PRP$","WP",5,"thy"
10,0,Ploce,"face",35,27,31,"NN","NN",6,"face"
10,1,Ploce,"face",35,58,62,"NN","NN",4,"face"
11,0,Ploce,"Now",35,42,45,"RB","RB",7,"Now"
11,1,Ploce,"now",36,18,21,"RB","RB",2,"now"
12,0,Ploce,"Thou",42,0,4,"PRP","WP",7,"Thou"
12,1,Ploce,"thou",43,2,6,"RB","RB",5,"thou"
12,2,Ploce,"thou",45,5,9,"RB","RB",1,"thou"
13,0,Ploce,"thy",42,7,10,"PRP$","WP",4,"thy"
13,1,Ploce,"thy",44,21,24,"VBD","VB",3,"thy"
14,0,Ploce,"thy",49,20,23,"PRP$","WP",1,"thy"
14,1,Ploce,"thy",49,27,30,"PRP$","WP",2,"thy"
15,0,Ploce,"dost",55,3,7,"VBP","VB",5,"dost"
15,1,Ploce,"dost",57,3,7,"VB","VB",7,"dost"
16,0,Ploce,"thou",55,7,11,"PRP","WP",4,"thou"
16,1,Ploce,"thou",57,7,11,"PRP","WP",5,"thou"
17,0,Ploce,"thy",59,20,23,"PRP$","WP",1,"thy"
17,1,Ploce,"thy",60,6,9,"PRP$","WP",1,"thy"
17,2,Ploce,"thy",60,13,16,"PRP$","WP",3,"thy"
18,0,Ploce,"self",59,23,27,"NN","NN",1,"self"
18,1,Ploce,"self",60,9,13,"NN","NN",1,"self"
18,2,Ploce,"self",60,21,25,"NN","NN",3,"self"
19,0,Ploce,"Thou",60,0,4,"PRP","WP",2,"Thou"
19,1,Ploce,"thou",62,24,28,"PRP","WP",1,"thou"
20,0,Ploce,"thee",61,22,26,"PRP","WP",4,"thee"
20,1,Ploce,"thee",63,31,35,"PRP","WP",1,"thee"
21,0,Ploce,"doth",68,52,56,"VBP","VB",2,"doth"
21,1,Ploce,"doth",69,55,59,"VBP","VB",2,"doth"
22,0,Ploce,"Beauty",77,0,6,"NNP","NN",1,"Beauti"
22,1,Ploce,"beauty",77,18,24,"NN","NN",1,"beauti"
23,0,Ploce,"ere",86,0,3,"VB","VB",4,"er"
23,1,Ploce,"ere",88,41,44,"VBP","VB",4,"er"
24,0,Ploce,"thou",86,3,7,"PRP","WP",2,"thou"
24,1,Ploce,"thou",88,8,12,"PRP","WP",2,"thou"
25,0,Ploce,"treasure",88,0,8,"VBG","VB",3,"treasur"
25,1,Ploce,"treasure",88,33,41,"NN","NN",3,"treasur"
26,0,Ploce,"ten",92,2,5,"CD","CD",1,"ten"
26,1,Ploce,"ten",93,4,7,"CD","CD",2,"ten"
26,2,Ploce,"Ten",94,0,3,"CD","CD",3,"Ten"
26,3,Ploce,"ten",95,2,5,"CD","CD",4,"ten"
26,4,Ploce,"ten",95,12,15,"CD","CD",1,"ten"
27,0,Ploce,"times",92,5,10,"NNS","NN",1,"time"
27,1,Ploce,"times",94,3,8,"NNS","NN",3,"time"
27,2,Ploce,"times",95,15,20,"NNS","NN",1,"time"
28,0,Ploce,"happier",92,10,17,"JJR","JJ",2,"happier"
28,1,Ploce,"happier",94,19,26,"JJR","JJ",3,"happier"
29,0,Ploce,"thou",94,30,34,"PRP","WP",1,"thou"
29,1,Ploce,"thou",96,22,26,"PRP","WP",2,"thou"
30,0,Ploce,"thee",95,29,33,"VB","VB",4,"thee"
30,1,Ploce,"thee",97,7,11,"PRP","WP",3,"thee"
31,0,Ploce,"thou",119,13,17,"PRP","WP",2,"thou"
31,1,Ploce,"thou",121,10,14,"CD","CD",1,"thou"
32,0,Ploce,"Music",120,4,9,"VBZ","VB",4,"Music"
32,1,Ploce,"music",121,14,19,"NN","NN",1,"music"
33,0,Ploce,"hear",120,11,15,"VB","VB",1,"hear"
33,1,Ploce,"hear",121,3,7,"VBP","VB",2,"hear"
34,0,Ploce,"Sweets",122,0,6,"RB","RB",2,"Sweet"
34,1,Ploce,"sweets",122,10,16,"RB","RB",1,"sweet"
35,0,Ploce,"joy",123,0,3,"NN","NN",3,"joi"
35,1,Ploce,"joy",123,13,16,"NN","NN",1,"joi"
36,0,Ploce,"st",124,7,9,"RB","RB",6,"st"
36,1,Ploce,"st",124,33,35,"VBP","VB",3,"st"
36,2,Ploce,"st",125,13,15,"VBP","VB",3,"st"
37,0,Ploce,"thou",124,9,13,"JJ","JJ",6,"thou"
37,1,Ploce,"thou",124,22,26,"PRP","WP",1,"thou"
38,0,Ploce,"receiv",124,26,32,"VBZ","VB",1,"receiv"
38,1,Ploce,"receiv",125,6,12,"NNP","NN",5,"receiv"
39,0,Ploce,"one",136,5,8,"CD","CD",1,"on"
39,1,Ploce,"one",137,0,3,"CD","CD",2,"on"
39,2,Ploce,"one",139,7,10,"CD","CD",1,"on"
40,0,Ploce,"single",141,5,11,"VBP","VB",6,"singl"
40,1,Ploce,"single",143,26,32,"JJ","JJ",1,"singl"
41,0,Ploce,"thou",145,2,6,"PRP","WP",4,"thou"
41,1,Ploce,"thou",147,38,42,"VBG","VB",6,"thou"
42,0,Ploce,"world",146,3,8,"NN","NN",4,"world"
42,1,Ploce,"world",147,3,8,"NN","NN",10,"world"
43,0,Ploce,"will",146,8,12,"MD","MD",4,"will"
43,1,Ploce,"will",147,8,12,"MD","MD",10,"will"
44,0,Ploce,"thee",146,16,20,"PRP","WP",2,"thee"
44,1,Ploce,"thee",147,50,54,"JJ","JJ",2,"thee"
45,0,Ploce,"widow",147,17,22,"NN","NN",7,"widow"
45,1,Ploce,"widow",148,16,21,"NN","NN",6,"widow"
46,0,Ploce,"world",151,19,24,"NN","NN",3,"world"
46,1,Ploce,"world",152,11,16,"NN","NN",2,"world"
46,2,Ploce,"world",153,25,30,"NN","NN",1,"world"
47,0,Ploce,"love",155,2,6,"NN","NN",4,"love"
47,1,Ploce,"love",157,19,23,"NN","NN",2,"love"
48,0,Ploce,"shame",155,59,64,"NN","NN",3,"shame"
48,1,Ploce,"shame",156,4,9,"NN","NN",1,"shame"
49,0,Ploce,"thou",160,2,6,"PRP","WP",1,"thou"
49,1,Ploce,"thou",161,0,4,"PRP","WP",4,"thou"
49,2,Ploce,"thou",162,7,11,"JJ","JJ",2,"thou"
49,3,Ploce,"thou",163,3,7,"PRP","WP",3,"thou"
49,4,Ploce,"thou",164,18,22,"NN","NN",4,"thou"
50,0,Ploce,"art",161,4,7,"VBP","VB",4,"art"
50,1,Ploce,"art",163,7,10,"NN","NN",4,"art"
51,0,Ploce,"st",162,19,21,"NN","NN",2,"st"
51,1,Ploce,"st",164,28,30,"NN","NN",3,"st"
52,0,Ploce,"thy",164,11,14,"NN","NN",4,"thy"
52,1,Ploce,"thy",165,54,57,"PRP$","WP",7,"thy"
52,2,Ploce,"thy",167,6,9,"NNS","NN",1,"thy"
53,0,Ploce,"change",167,0,6,"NN","NN",1,"chang"
53,1,Ploce,"change",168,8,14,"VB","VB",2,"chang"
54,0,Ploce,"thee",174,4,8,"PRP","WP",5,"thee"
54,1,Ploce,"thee",175,31,35,"NNP","NN",1,"thee"
55,0,Ploce,"fast",176,4,8,"RB","RB",2,"fast"
55,1,Ploce,"fast",177,2,6,"RB","RB",2,"fast"
56,0,Ploce,"thou",176,10,14,"PRP","WP",1,"thou"
56,1,Ploce,"thou",177,6,10,"RB","RB",2,"thou"
56,2,Ploce,"thou",179,13,17,"PRP","WP",1,"thou"
56,3,Ploce,"thou",180,29,33,"RB","RB",4,"thou"
56,4,Ploce,"Thou",181,0,4,"PRP","WP",6,"Thou"
56,5,Ploce,"thou",181,22,26,"VBN","VB",3,"thou"
57,0,Ploce,"thee",197,7,11,"PRP","WP",1,"thee"
57,1,Ploce,"thee",199,9,13,"VB","VB",3,"thee"
58,0,Ploce,"time",213,24,28,"NN","NN",1,"time"
58,1,Ploce,"Time",215,17,21,"NNP","NN",2,"Time"
59,0,Ploce,"sweet",227,8,13,"JJ","JJ",1,"sweet"
59,1,Ploce,"sweet",227,22,27,"JJ","JJ",1,"sweet"
60,0,Ploce,"shall",246,20,25,"MD","MD",4,"shall"
60,1,Ploce,"shall",248,51,56,"MD","MD",3,"shall"
61,0,Ploce,"youth",260,51,56,"NN","NN",2,"youth"
61,1,Ploce,"youth",261,51,56,"NN","NN",1,"youth"
62,0,Ploce,"Time",261,13,17,"NNP","NN",7,"Time"
62,1,Ploce,"Time",262,15,19,"NNP","NN",3,"Time"
63,0,Ploce,"life",273,18,22,"NN","NN",1,"life"
63,1,Ploce,"life",273,26,30,"NN","NN",1,"life"
64,0,Ploce,"Sometime",304,0,8,"RB","RB",3,"Sometim"
64,1,Ploce,"sometime",306,20,28,"RB","RB",4,"sometim"
65,0,Ploce,"fair",306,8,12,"JJ","JJ",3,"fair"
65,1,Ploce,"fair",306,16,20,"JJ","JJ",1,"fair"
66,0,Ploce,"shall",309,19,24,"MD","MD",2,"shall"
66,1,Ploce,"shall",311,3,8,"MD","MD",7,"shall"
67,0,Ploce,"thou",310,27,31,"JJ","JJ",1,"thou"
67,1,Ploce,"thou",311,17,21,"PRP","WP",4,"thou"
67,2,Ploce,"thou",312,24,28,"PRP","WP",4,"thou"
68,0,Ploce,"st",310,34,36,"NN","NN",1,"st"
68,1,Ploce,"st",311,28,30,"NN","NN",2,"st"
68,2,Ploce,"st",312,33,35,"NN","NN",3,"st"
69,0,Ploce,"long",313,2,6,"RB","RB",3,"long"
69,1,Ploce,"long",315,2,6,"RB","RB",2,"long"
70,0,Ploce,"can",313,11,14,"MD","MD",3,"can"
70,1,Ploce,"can",314,6,9,"MD","MD",2,"can"
