figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Symploce,"The",482,0,3,"DT","DT",1,"The"
0,1,Symploce,"toil",482,8,12,"VBP","VB",1,"toil"
0,2,Symploce,"the",483,0,3,"DT","DT",5,"the"
0,3,Symploce,"toil",483,25,29,"VBP","VB",1,"toil"
1,0,Symploce,"Thou",719,0,4,"PRP","WP",3,"Thou"
1,1,Symploce,"love",719,8,12,"VB","VB",2,"love"
1,2,Symploce,"her",719,12,15,"PRP","WP",1,"her"
1,3,Symploce,"thou",720,7,11,"PRP","WP",4,"thou"
1,4,Symploce,"love",720,19,23,"VBP","VB",2,"love"
1,5,Symploce,"her",720,23,26,"PRP","WP",1,"her"
2,0,Symploce,"I",1441,0,1,"PRP","WP",1,"I"
2,1,Symploce,"found",1441,1,6,"VBD","VB",1,"found"
2,2,Symploce,"I",1442,9,10,"PRP","WP",1,"I"
2,3,Symploce,"found",1442,10,15,"VBD","VB",1,"found"
3,0,Symploce,"he",1463,3,5,"PRP","WP",3,"he"
3,1,Symploce,"you",1463,17,20,"PRP","WP",1,"you"
3,2,Symploce,"he",1464,2,4,"PRP","WP",7,"he"
3,3,Symploce,"you",1464,21,24,"PRP","WP",1,"you"
4,0,Symploce,"Three",1851,0,5,"CD","CD",3,"Three"
4,1,Symploce,"'d",1851,39,41,"MD","MD",4,"'d"
4,2,Symploce,"Three",1853,0,5,"NNP","NN",5,"Three"
4,3,Symploce,"'d",1853,37,39,"NNP","NN",1,"'d"
5,0,Symploce,"Three",1851,0,5,"CD","CD",3,"Three"
5,1,Symploce,"'d",1851,39,41,"MD","MD",4,"'d"
5,2,Symploce,"three",1853,20,25,"CD","CD",2,"three"
5,3,Symploce,"'d",1853,37,39,"NNP","NN",1,"'d"
6,0,Symploce,"what",2492,8,12,"WP","WP",2,"what"
6,1,Symploce,"is",2492,18,20,"VBZ","VB",1,"is"
6,2,Symploce,"what",2494,3,7,"WP","WP",4,"what"
6,3,Symploce,"is",2494,14,16,"VBZ","VB",3,"is"
