figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Anadiplosis,"one",110,9,12,"CD","CD",1,"on"
0,1,Anadiplosis,"one",110,13,16,"CD","CD",4,"on"
1,0,Anadiplosis,"him",398,12,15,"PRP","WP",5,"him"
1,1,Anadiplosis,"him",398,20,23,"PRP","WP",2,"him"
2,0,Anadiplosis,"Love",423,14,18,"NN","NN",2,"Love"
2,1,Anadiplosis,"Love",423,25,29,"NN","NN",1,"Love"
3,0,Anadiplosis,"mine",504,11,15,"NN","NN",1,"mine"
3,1,Anadiplosis,"mine",504,16,20,"PRP","WP",4,"mine"
4,0,Anadiplosis,"best",517,10,14,"JJS","JJ",4,"best"
4,1,Anadiplosis,"best",517,19,23,"JJS","JJ",4,"best"
5,0,Anadiplosis,"love",712,3,7,"NN","NN",3,"love"
5,1,Anadiplosis,"love",712,11,15,"NN","NN",2,"love"
6,0,Anadiplosis,"one",731,23,26,"NN","NN",1,"on"
6,1,Anadiplosis,"one",731,27,30,"CD","CD",1,"on"
7,0,Anadiplosis,"none",742,10,14,"NN","NN",2,"none"
7,1,Anadiplosis,"none",742,15,19,"NN","NN",1,"none"
8,0,Anadiplosis,"loss",890,19,23,"NN","NN",1,"loss"
8,1,Anadiplosis,"loss",890,27,31,"NN","NN",2,"loss"
9,0,Anadiplosis,"state",891,30,35,"NN","NN",1,"state"
9,1,Anadiplosis,"state",892,2,7,"NN","NN",3,"state"
10,0,Anadiplosis,"you",1059,29,32,"PRP","WP",1,"you"
10,1,Anadiplosis,"you",1060,3,6,"PRP","WP",2,"you"
11,0,Anadiplosis,"now",1247,30,33,"RB","RB",1,"now"
11,1,Anadiplosis,"Now",1248,0,3,"RB","RB",8,"Now"
12,0,Anadiplosis,"mine",1344,12,16,"NN","NN",1,"mine"
12,1,Anadiplosis,"mine",1344,17,21,"PRP","WP",4,"mine"
13,0,Anadiplosis,"you",1370,10,13,"PRP","WP",1,"you"
13,1,Anadiplosis,"you",1370,14,17,"PRP","WP",4,"you"
14,0,Anadiplosis,"less",1417,8,12,"JJR","JJ",1,"less"
14,1,Anadiplosis,"less",1417,19,23,"JJR","JJ",1,"less"
15,0,Anadiplosis,"one",1461,2,5,"CD","CD",2,"on"
15,1,Anadiplosis,"one",1461,8,11,"CD","CD",1,"on"
16,0,Anadiplosis,"hopes",1656,15,20,"NNS","NN",3,"hope"
16,1,Anadiplosis,"hopes",1656,24,29,"NNS","NN",2,"hope"
17,0,Anadiplosis,"you",1678,9,12,"PRP","WP",2,"you"
17,1,Anadiplosis,"you",1678,15,18,"PRP","WP",2,"you"
18,0,Anadiplosis,"yours",1681,11,16,"PRP$","WP",2,"your"
18,1,Anadiplosis,"yours",1681,20,25,"PRP$","WP",3,"your"
19,0,Anadiplosis,"music",1778,17,22,"NN","NN",2,"music"
19,1,Anadiplosis,"music",1778,23,28,"NN","NN",1,"music"
20,0,Anadiplosis,"action",1793,8,14,"NN","NN",1,"action"
20,1,Anadiplosis,"action",1793,22,28,"NN","NN",4,"action"
21,0,Anadiplosis,"mad",1799,27,30,"JJ","JJ",1,"mad"
21,1,Anadiplosis,"Mad",1800,0,3,"VBG","VB",4,"Mad"
22,0,Anadiplosis,"Will",1876,31,35,"NN","NN",1,"Will"
22,1,Anadiplosis,"Will",1877,4,8,"NNP","NN",2,"Will"
23,0,Anadiplosis,"Will",1891,31,35,"NNP","NN",1,"Will"
23,1,Anadiplosis,"will",1892,3,7,"NN","NN",2,"will"
24,0,Anadiplosis,"love",1902,16,20,"NN","NN",3,"love"
24,1,Anadiplosis,"love",1902,24,28,"NN","NN",1,"love"
25,0,Anadiplosis,"words",1948,16,21,"NNS","NN",1,"word"
25,1,Anadiplosis,"words",1948,25,30,"NNS","NN",2,"word"
26,0,Anadiplosis,"hate",1974,28,32,"NN","NN",1,"hate"
26,1,Anadiplosis,"Hate",1975,0,4,"NNP","NN",3,"Hate"
27,0,Anadiplosis,"hate",2028,2,6,"VBP","VB",1,"hate"
27,1,Anadiplosis,"hate",2028,12,16,"RB","RB",1,"hate"
28,0,Anadiplosis,"my",2030,20,22,"PRP$","WP",1,"my"
28,1,Anadiplosis,"sinful",2030,22,28,"JJ","JJ",1,"sin"
28,2,Anadiplosis,"earth",2030,28,33,"NN","NN",1,"earth"
28,3,Anadiplosis,"My",2031,0,2,"PRP$","WP",2,"My"
28,4,Anadiplosis,"sinful",2031,2,8,"NN","NN",2,"sin"
28,5,Anadiplosis,"earth",2031,8,13,"VBZ","VB",2,"earth"
29,0,Anadiplosis,"more",2094,32,36,"JJR","JJ",1,"more"
29,1,Anadiplosis,"more",2095,3,7,"JJR","JJ",3,"more"
30,0,Anadiplosis,"water",2155,15,20,"NN","NN",1,"water"
30,1,Anadiplosis,"water",2155,21,26,"NN","NN",3,"water"
