figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Anaphora,"where",19,15,20,"WRB","RB",2,"where"
0,1,Anaphora,"all",19,20,23,"PDT","PDT",1,"all"
0,2,Anaphora,"Where",20,0,5,"WRB","RB",2,"Where"
0,3,Anaphora,"all",20,5,8,"RB","RB",1,"all"
1,0,Anaphora,"when",27,19,23,"WRB","RB",3,"when"
1,1,Anaphora,"thou",27,23,27,"PRP","WP",2,"thou"
1,2,Anaphora,"when",28,18,22,"WRB","RB",6,"when"
1,3,Anaphora,"thou",28,22,26,"PRP","WP",5,"thou"
2,0,Anaphora,"Whose",31,0,5,"VBG","VB",5,"Whose"
2,1,Anaphora,"whose",33,19,24,"WP$","WP",3,"whose"
3,0,Anaphora,"is",33,8,10,"VBZ","VB",5,"is"
3,1,Anaphora,"is",35,5,7,"VBZ","VB",4,"is"
4,0,Anaphora,"why",47,22,25,"WRB","RB",3,"why"
4,1,Anaphora,"dost",47,25,29,"NN","NN",2,"dost"
4,2,Anaphora,"thou",47,29,33,"VBZ","VB",2,"thou"
4,3,Anaphora,"why",49,17,20,"WRB","RB",2,"why"
4,4,Anaphora,"dost",49,20,24,"NN","NN",1,"dost"
4,5,Anaphora,"thou",49,24,28,"NNS","NN",1,"thou"
5,0,Anaphora,"Thou",52,0,4,"PRP","WP",2,"Thou"
5,1,Anaphora,"thou",54,24,28,"PRP","WP",1,"thou"
6,0,Anaphora,"why",99,12,15,"WRB","RB",3,"why"
6,1,Anaphora,"Why",101,0,3,"WRB","RB",7,"Why"
7,0,Anaphora,"st",99,20,22,"JJ","JJ",1,"st"
7,1,Anaphora,"thou",99,22,26,"CD","CD",1,"thou"
7,2,Anaphora,"st",101,7,9,"RB","RB",6,"st"
7,3,Anaphora,"thou",101,9,13,"JJ","JJ",6,"thou"
8,0,Anaphora,"st",99,20,22,"JJ","JJ",1,"st"
8,1,Anaphora,"st",101,7,9,"RB","RB",6,"st"
8,2,Anaphora,"st",101,33,35,"VBP","VB",3,"st"
8,3,Anaphora,"st",102,13,15,"VBP","VB",3,"st"
9,0,Anaphora,"to",113,11,13,"TO","TO",4,"to"
9,1,Anaphora,"to",115,26,28,"TO","TO",2,"to"
10,0,Anaphora,"world",116,3,8,"NN","NN",4,"world"
10,1,Anaphora,"will",116,8,12,"MD","MD",4,"will"
10,2,Anaphora,"world",117,3,8,"NN","NN",4,"world"
10,3,Anaphora,"will",117,8,12,"MD","MD",4,"will"
11,0,Anaphora,"thou",129,17,21,"PRP","WP",5,"thou"
11,1,Anaphora,"art",129,21,24,"VBP","VB",5,"art"
11,2,Anaphora,"thou",131,3,7,"PRP","WP",3,"thou"
11,3,Anaphora,"art",131,7,10,"NN","NN",4,"art"
12,0,Anaphora,"st",130,19,21,"NN","NN",2,"st"
12,1,Anaphora,"st",132,28,30,"NN","NN",3,"st"
13,0,Anaphora,"Thou",144,0,4,"PRP","WP",6,"Thou"
13,1,Anaphora,"thou",144,22,26,"VBN","VB",3,"thou"
14,0,Anaphora,"whom",149,8,12,"WP","WP",5,"whom"
14,1,Anaphora,"whom",151,5,9,"WP","WP",2,"whom"
15,0,Anaphora,"she",151,9,12,"PRP","WP",1,"she"
15,1,Anaphora,"she",151,24,27,"PRP","WP",5,"she"
15,2,Anaphora,"She",153,0,3,"PRP","WP",4,"She"
16,0,Anaphora,"thou",152,18,22,"VBG","VB",3,"thou"
16,1,Anaphora,"shouldst",152,22,30,"NN","NN",2,"shouldst"
16,2,Anaphora,"Thou",154,0,4,"PRP","WP",6,"Thou"
16,3,Anaphora,"shouldst",154,4,12,"VBP","VB",6,"shouldst"
17,0,Anaphora,"When",155,0,4,"WRB","RB",8,"When"
17,1,Anaphora,"I",155,4,5,"PRP","WP",7,"I"
17,2,Anaphora,"When",157,0,4,"WRB","RB",4,"When"
17,3,Anaphora,"I",157,4,5,"PRP","WP",3,"I"
18,0,Anaphora,"When",155,0,4,"WRB","RB",8,"When"
18,1,Anaphora,"When",157,0,4,"WRB","RB",4,"When"
18,2,Anaphora,"When",159,0,4,"WRB","RB",5,"When"
19,0,Anaphora,"I",155,4,5,"PRP","WP",7,"I"
19,1,Anaphora,"I",157,4,5,"PRP","WP",3,"I"
19,2,Anaphora,"I",159,14,15,"PRP","WP",4,"I"
20,0,Anaphora,"you",181,30,33,"PRP","WP",1,"you"
20,1,Anaphora,"You",182,0,3,"PRP","WP",4,"You"
21,0,Anaphora,"To",208,0,2,"TO","TO",7,"To"
21,1,Anaphora,"to",208,22,24,"TO","TO",3,"to"
22,0,Anaphora,"To",223,0,2,"TO","TO",6,"To"
22,1,Anaphora,"to",225,27,29,"TO","TO",2,"to"
23,0,Anaphora,"thou",249,17,21,"PRP","WP",4,"thou"
23,1,Anaphora,"thou",250,24,28,"PRP","WP",4,"thou"
24,0,Anaphora,"So",251,0,2,"RB","RB",6,"So"
24,1,Anaphora,"long",251,2,6,"RB","RB",6,"long"
24,2,Anaphora,"So",252,0,2,"RB","RB",5,"So"
24,3,Anaphora,"long",252,2,6,"RB","RB",4,"long"
25,0,Anaphora,"woman",267,1,6,"NN","NN",2,"woman"
25,1,Anaphora,"'s",267,6,8,"POS","POS",2,"'s"
25,2,Anaphora,"woman",269,1,6,"NN","NN",4,"woman"
25,3,Anaphora,"'s",269,6,8,"VBZ","VB",4,"'s"
26,0,Anaphora,"I",294,0,1,"PRP","WP",6,"I"
26,1,Anaphora,"I",295,25,26,"PRP","WP",2,"I"
26,2,Anaphora,"I",297,26,27,"PRP","WP",2,"I"
26,3,Anaphora,"I",298,8,9,"PRP","WP",5,"I"
27,0,Anaphora,"to",321,7,9,"TO","TO",6,"to"
27,1,Anaphora,"To",322,0,2,"TO","TO",4,"To"
28,0,Anaphora,"to",334,15,17,"TO","TO",4,"to"
28,1,Anaphora,"to",335,22,24,"TO","TO",3,"to"
29,0,Anaphora,"They",336,0,4,"PRP","WP",3,"Thei"
29,1,Anaphora,"they",336,15,19,"PRP","WP",1,"thei"
30,0,Anaphora,"to",351,13,15,"TO","TO",4,"to"
30,1,Anaphora,"To",353,0,2,"TO","TO",5,"To"
30,2,Anaphora,"To",354,0,2,"TO","TO",5,"To"
30,3,Anaphora,"to",356,30,32,"TO","TO",3,"to"
31,0,Anaphora,"To",362,0,2,"TO","TO",5,"To"
31,1,Anaphora,"to",363,12,14,"TO","TO",7,"to"
32,0,Anaphora,"I",363,22,23,"PRP","WP",3,"I"
32,1,Anaphora,"I",365,14,15,"PRP","WP",3,"I"
33,0,Anaphora,"I",386,6,7,"PRP","WP",1,"I"
33,1,Anaphora,"I",387,0,1,"PRP","WP",7,"I"
34,0,Anaphora,"him",387,20,23,"PRP","WP",2,"him"
34,1,Anaphora,"him",388,7,10,"PRP","WP",4,"him"
35,0,Anaphora,"when",388,15,19,"WRB","RB",2,"when"
35,1,Anaphora,"When",390,0,4,"WRB","RB",3,"When"
36,0,Anaphora,"I",408,0,1,"PRP","WP",4,"I"
36,1,Anaphora,"I",409,0,1,"PRP","WP",5,"I"
36,2,Anaphora,"I",409,24,25,"PRP","WP",1,"I"
37,0,Anaphora,"I",433,11,12,"PRP","WP",5,"I"
37,1,Anaphora,"I",433,18,19,"PRP","WP",3,"I"
38,0,Anaphora,"'d",513,31,33,"MD","MD",1,"'d"
38,1,Anaphora,"'d",515,27,29,"MD","MD",1,"'d"
39,0,Anaphora,"I",517,23,24,"PRP","WP",3,"I"
39,1,Anaphora,"I",518,8,9,"PRP","WP",1,"I"
40,0,Anaphora,"When",534,0,4,"WRB","RB",5,"When"
40,1,Anaphora,"when",536,21,25,"WRB","RB",3,"when"
41,0,Anaphora,"To",543,0,2,"TO","TO",6,"To"
41,1,Anaphora,"to",545,22,24,"TO","TO",3,"to"
42,0,Anaphora,"my",547,15,17,"PRP$","WP",1,"my"
42,1,Anaphora,"love",547,17,21,"NN","NN",1,"love"
42,2,Anaphora,"my",549,7,9,"PRP$","WP",1,"my"
42,3,Anaphora,"love",549,9,13,"NN","NN",1,"love"
42,4,Anaphora,"my",551,10,12,"PRP$","WP",1,"my"
42,5,Anaphora,"love",551,12,16,"NN","NN",1,"love"
42,6,Anaphora,"my",552,20,22,"PRP$","WP",1,"my"
42,7,Anaphora,"love",552,22,26,"NN","NN",1,"love"
43,0,Anaphora,"my",551,10,12,"PRP$","WP",1,"my"
43,1,Anaphora,"love",551,12,16,"NN","NN",1,"love"
43,2,Anaphora,"thou",551,17,21,"VBZ","VB",2,"thou"
43,3,Anaphora,"my",552,20,22,"PRP$","WP",1,"my"
43,4,Anaphora,"love",552,22,26,"NN","NN",1,"love"
43,5,Anaphora,"thou",552,26,30,"VBG","VB",1,"thou"
44,0,Anaphora,"thou",564,30,34,"PRP","WP",1,"thou"
44,1,Anaphora,"art",564,34,37,"VBP","VB",1,"art"
44,2,Anaphora,"thou",566,9,13,"PRP","WP",5,"thou"
44,3,Anaphora,"art",566,13,16,"VBP","VB",5,"art"
45,0,Anaphora,"therefore",565,17,26,"RB","RB",3,"therefor"
45,1,Anaphora,"to",565,26,28,"TO","TO",3,"to"
45,2,Anaphora,"be",565,28,30,"VB","VB",2,"be"
45,3,Anaphora,"therefore",566,17,26,"RB","RB",4,"therefor"
45,4,Anaphora,"to",566,26,28,"TO","TO",3,"to"
45,5,Anaphora,"be",566,28,30,"VB","VB",2,"be"
46,0,Anaphora,"I",583,2,3,"PRP","WP",6,"I"
46,1,Anaphora,"lose",583,3,7,"VBP","VB",5,"lose"
46,2,Anaphora,"I",585,21,22,"PRP","WP",2,"I"
46,3,Anaphora,"lose",585,22,26,"VBP","VB",2,"lose"
47,0,Anaphora,"my",583,12,14,"PRP$","WP",3,"my"
47,1,Anaphora,"my",584,13,15,"PRP$","WP",3,"my"
48,0,Anaphora,"To",595,0,2,"TO","TO",5,"To"
48,1,Anaphora,"to",596,4,6,"TO","TO",3,"to"
49,0,Anaphora,"I",629,9,10,"PRP","WP",2,"I"
49,1,Anaphora,"I",630,0,1,"PRP","WP",3,"I"
50,0,Anaphora,"Mine",631,0,4,"NNP","NN",3,"Mine"
50,1,Anaphora,"eye",631,4,7,"NN","NN",3,"ey"
50,2,Anaphora,"Mine",633,0,4,"PRP","WP",5,"Mine"
50,3,Anaphora,"eye",633,4,7,"VBD","VB",5,"ey"
51,0,Anaphora,"My",634,0,2,"PRP$","WP",3,"My"
51,1,Anaphora,"heart",634,2,7,"NN","NN",3,"heart"
51,2,Anaphora,"My",635,0,2,"PRP$","WP",7,"My"
