sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,"??????",0,6,"VBZ","VB",1,"??????"
0,1,"I",6,7,"PRP","WP",1,"I"
1,0,"From",0,4,"IN","IN",2,"From"
1,1,"fairest",4,11,"JJ","JJ",1,"fairest"
1,2,"creatures",11,20,"NNS","NN",1,"creatur"
1,3,"we",20,22,"PRP","WP",2,"we"
1,4,"desire",22,28,"RB","RB",2,"desir"
1,5,"increase",28,36,"VBP","VB",2,"increas"
1,6,",",36,37,",",",",3,","
2,0,"That",0,4,"DT","DT",1,"That"
2,1,"thereby",4,11,"JJ","JJ",1,"therebi"
2,2,"beauty",11,17,"NN","NN",1,"beauti"
2,3,"'s",17,19,"POS","POS",1,"'s"
2,4,"rose",19,23,"NN","NN",1,"rose"
2,5,"might",23,28,"MD","MD",2,"might"
2,6,"never",28,33,"RB","RB",1,"never"
2,7,"die",33,36,"VB","VB",1,"die"
2,8,",",36,37,",",",",3,","
3,0,"But",0,3,"CC","CC",4,"But"
3,1,"as",3,5,"RB","RB",3,"as"
3,2,"the",5,8,"DT","DT",2,"the"
3,3,"riper",8,13,"NN","NN",2,"riper"
3,4,"should",13,19,"MD","MD",3,"should"
3,5,"by",19,21,"IN","IN",2,"by"
3,6,"time",21,25,"NN","NN",1,"time"
3,7,"decease",25,32,"VB","VB",2,"deceas"
3,8,",",32,33,",",",",4,","
4,0,"His",0,3,"PRP$","WP",3,"Hi"
4,1,"tender",3,9,"NN","NN",3,"tender"
4,2,"heir",9,13,"NN","NN",3,"heir"
4,3,"might",13,18,"MD","MD",3,"might"
4,4,"bear",18,22,"VB","VB",2,"bear"
4,5,"his",22,25,"PRP$","WP",1,"hi"
4,6,"memory",25,31,"NN","NN",1,"memori"
4,7,":",31,32,":",":",4,":"
5,0,"But",0,3,"CC","CC",5,"But"
5,1,"thou",3,7,"RB","RB",4,"thou"
5,2,",",7,8,",",",",5,","
5,3,"contracted",8,18,"VBD","VB",4,"contract"
