figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Ploce,"might",2,23,28,"MD","MD",2,"might"
0,1,Ploce,"might",4,13,18,"MD","MD",3,"might"
1,0,Ploce,"thy",6,7,10,"PRP$","WP",1,"thy"
1,1,Ploce,"Thy",8,0,3,"NN","NN",3,"Thy"
1,2,Ploce,"thy",8,7,10,"NN","NN",3,"thy"
1,3,Ploce,"thy",8,16,19,"PRP$","WP",1,"thy"
2,0,Ploce,"self",8,3,7,"NN","NN",3,"self"
2,1,Ploce,"self",8,24,28,"NN","NN",1,"self"
3,0,Ploce,"world",13,7,12,"NN","NN",2,"world"
3,1,Ploce,"world",14,8,13,"NN","NN",1,"world"
4,0,Ploce,"thy",15,28,31,"PRP$","WP",1,"thy"
4,1,Ploce,"thy",16,20,23,"PRP$","WP",1,"thy"
4,2,Ploce,"Thy",17,0,3,"VB","VB",5,"Thy"
4,3,Ploce,"thy",19,23,26,"PRP$","WP",1,"thy"
4,4,Ploce,"thy",20,21,24,"PRP$","WP",1,"thy"
5,0,Ploce,"praise",22,35,41,"VBP","VB",2,"prais"
5,1,Ploce,"praise",23,11,17,"NN","NN",3,"prais"
6,0,Ploce,"old",25,25,28,"JJ","JJ",1,"old"
6,1,Ploce,"old",27,30,33,"JJ","JJ",1,"old"
7,0,Ploce,"thou",27,23,27,"PRP","WP",2,"thou"
7,1,Ploce,"thou",28,22,26,"PRP","WP",5,"thou"
7,2,Ploce,"thou",29,28,32,"NN","NN",2,"thou"
7,3,Ploce,"thou",31,21,25,"VBZ","VB",2,"thou"
7,4,Ploce,"Thou",32,0,4,"PRP","WP",3,"Thou"
8,0,Ploce,"thy",28,6,9,"PRP$","WP",7,"thy"
8,1,Ploce,"thy",29,6,9,"PRP$","WP",1,"thy"
9,0,Ploce,"face",29,24,28,"NN","NN",2,"face"
9,1,Ploce,"face",30,16,20,"NN","NN",4,"face"
10,0,Ploce,"Now",30,0,3,"RB","RB",7,"Now"
10,1,Ploce,"now",31,18,21,"RB","RB",2,"now"
11,0,Ploce,"Whose",31,0,5,"VBG","VB",5,"Whose"
11,1,Ploce,"whose",33,19,24,"WP$","WP",3,"whose"
12,0,Ploce,"Thou",37,0,4,"PRP","WP",5,"Thou"
12,1,Ploce,"thou",39,2,6,"RB","RB",5,"thou"
12,2,Ploce,"thou",41,5,9,"PRP","WP",2,"thou"
12,3,Ploce,"thou",43,27,31,"NNS","NN",1,"thou"
13,0,Ploce,"thy",44,4,7,"PRP$","WP",1,"thy"
13,1,Ploce,"thy",44,11,14,"PRP$","WP",2,"thy"
14,0,Ploce,"dost",47,25,29,"NN","NN",2,"dost"
14,1,Ploce,"dost",49,20,24,"NN","NN",1,"dost"
15,0,Ploce,"thou",47,29,33,"VBZ","VB",2,"thou"
15,1,Ploce,"thou",49,24,28,"NNS","NN",1,"thou"
16,0,Ploce,"thy",51,20,23,"PRP$","WP",1,"thy"
16,1,Ploce,"thy",52,6,9,"PRP$","WP",1,"thy"
16,2,Ploce,"thy",52,13,16,"PRP$","WP",3,"thy"
17,0,Ploce,"self",51,23,27,"NN","NN",1,"self"
17,1,Ploce,"self",52,9,13,"NN","NN",1,"self"
17,2,Ploce,"self",52,21,25,"NN","NN",3,"self"
18,0,Ploce,"Thou",52,0,4,"PRP","WP",2,"Thou"
18,1,Ploce,"thou",54,24,28,"PRP","WP",1,"thou"
19,0,Ploce,"thee",53,22,26,"PRP","WP",4,"thee"
19,1,Ploce,"thee",55,31,35,"PRP","WP",1,"thee"
20,0,Ploce,"doth",58,26,30,"VBP","VB",2,"doth"
20,1,Ploce,"doth",60,24,28,"VBP","VB",1,"doth"
21,0,Ploce,"Beauty",67,0,6,"NNP","NN",1,"Beauti"
21,1,Ploce,"beauty",67,18,24,"NN","NN",1,"beauti"
22,0,Ploce,"winter",69,34,40,"NN","NN",1,"winter"
22,1,Ploce,"winter",71,10,16,"NN","NN",1,"winter"
23,0,Ploce,"ere",72,16,19,"NN","NN",4,"er"
23,1,Ploce,"ere",74,20,23,"NN","NN",2,"er"
