figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Polysyndeton,"and",62,16,19,"CC","CC",4,"and"
0,1,Polysyndeton,"and",63,20,23,"CC","CC",6,"and"
0,2,Polysyndeton,"and",64,17,20,"CC","CC",2,"and"
1,0,Polysyndeton,"and",165,11,14,"CC","CC",3,"and"
1,1,Polysyndeton,"And",166,0,3,"CC","CC",9,"And"
1,2,Polysyndeton,"And",167,0,3,"CC","CC",4,"And"
2,0,Polysyndeton,"And",166,0,3,"CC","CC",9,"And"
2,1,Polysyndeton,"And",167,0,3,"CC","CC",4,"And"
3,0,Polysyndeton,"And",235,0,3,"CC","CC",8,"And"
3,1,Polysyndeton,"And",236,0,3,"CC","CC",4,"And"
4,0,Polysyndeton,"And",244,0,3,"CC","CC",6,"And"
4,1,Polysyndeton,"And",245,0,3,"CC","CC",5,"And"
5,0,Polysyndeton,"Nor",248,0,3,"CC","CC",7,"Nor"
5,1,Polysyndeton,"Nor",249,0,3,"CC","CC",9,"Nor"
6,0,Polysyndeton,"And",256,0,3,"CC","CC",5,"And"
6,1,Polysyndeton,"and",257,8,11,"CC","CC",1,"and"
6,2,Polysyndeton,"And",258,0,3,"CC","CC",5,"And"
6,3,Polysyndeton,"and",259,14,17,"CC","CC",3,"and"
7,0,Polysyndeton,"And",284,0,3,"CC","CC",4,"And"
7,1,Polysyndeton,"and",286,7,10,"CC","CC",4,"and"
7,2,Polysyndeton,"and",286,24,27,"CC","CC",2,"and"
7,3,Polysyndeton,"and",287,29,32,"CC","CC",4,"and"
8,0,Polysyndeton,"And",395,0,3,"CC","CC",4,"And"
8,1,Polysyndeton,"And",396,0,3,"CC","CC",6,"And"
8,2,Polysyndeton,"and",396,18,21,"CC","CC",4,"and"
9,0,Polysyndeton,"And",395,0,3,"CC","CC",4,"And"
9,1,Polysyndeton,"And",396,0,3,"CC","CC",6,"And"
10,0,Polysyndeton,"And",413,0,3,"CC","CC",9,"And"
10,1,Polysyndeton,"And",414,0,3,"CC","CC",4,"And"
11,0,Polysyndeton,"And",423,0,3,"CC","CC",5,"And"
11,1,Polysyndeton,"and",423,19,22,"CC","CC",3,"and"
11,2,Polysyndeton,"And",424,0,3,"CC","CC",5,"And"
11,3,Polysyndeton,"and",425,12,15,"CC","CC",2,"and"
12,0,Polysyndeton,"And",423,0,3,"CC","CC",5,"And"
12,1,Polysyndeton,"And",424,0,3,"CC","CC",5,"And"
13,0,Polysyndeton,"And",476,0,3,"CC","CC",4,"And"
13,1,Polysyndeton,"and",476,14,17,"CC","CC",3,"and"
13,2,Polysyndeton,"and",478,16,19,"CC","CC",4,"and"
13,3,Polysyndeton,"and",479,6,9,"CC","CC",2,"and"
13,4,Polysyndeton,"and",479,30,33,"CC","CC",1,"and"
13,5,Polysyndeton,"And",480,0,3,"CC","CC",4,"And"
13,6,Polysyndeton,"and",481,17,20,"CC","CC",4,"and"
14,0,Polysyndeton,"or",509,23,25,"CC","CC",1,"or"
14,1,Polysyndeton,"or",509,32,34,"CC","CC",2,"or"
14,2,Polysyndeton,"Or",510,0,2,"CC","CC",7,"Or"
14,3,Polysyndeton,"or",510,16,18,"CC","CC",4,"or"
14,4,Polysyndeton,"or",510,22,24,"CC","CC",1,"or"
15,0,Polysyndeton,"And",584,0,3,"CC","CC",4,"And"
15,1,Polysyndeton,"and",585,18,21,"CC","CC",4,"and"
15,2,Polysyndeton,"And",586,0,3,"CC","CC",4,"And"
15,3,Polysyndeton,"and",587,24,27,"CC","CC",2,"and"
16,0,Polysyndeton,"And",644,0,3,"CC","CC",6,"And"
16,1,Polysyndeton,"and",645,14,17,"CC","CC",2,"and"
16,2,Polysyndeton,"And",646,0,3,"CC","CC",3,"And"
17,0,Polysyndeton,"And",656,0,3,"CC","CC",5,"And"
17,1,Polysyndeton,"and",656,20,23,"CC","CC",4,"and"
17,2,Polysyndeton,"and",658,23,26,"CC","CC",2,"and"
18,0,Polysyndeton,"Nor",788,0,3,"CC","CC",9,"Nor"
18,1,Polysyndeton,"Nor",789,0,3,"CC","CC",6,"Nor"
19,0,Polysyndeton,"And",838,0,3,"CC","CC",8,"And"
19,1,Polysyndeton,"And",839,0,3,"CC","CC",6,"And"
20,0,Polysyndeton,"And",856,0,3,"CC","CC",4,"And"
20,1,Polysyndeton,"and",856,13,16,"CC","CC",3,"and"
20,2,Polysyndeton,"And",857,0,3,"CC","CC",7,"And"
21,0,Polysyndeton,"And",856,0,3,"CC","CC",4,"And"
21,1,Polysyndeton,"And",857,0,3,"CC","CC",7,"And"
22,0,Polysyndeton,"and",870,30,33,"CC","CC",3,"and"
22,1,Polysyndeton,"and",871,28,31,"CC","CC",4,"and"
22,2,Polysyndeton,"and",872,9,12,"CC","CC",3,"and"
23,0,Polysyndeton,"nor",897,11,14,"CC","CC",4,"nor"
23,1,Polysyndeton,"nor",897,20,23,"CC","CC",1,"nor"
23,2,Polysyndeton,"nor",897,29,32,"CC","CC",3,"nor"
24,0,Polysyndeton,"Or",907,0,2,"CC","CC",6,"Or"
24,1,Polysyndeton,"Or",908,0,2,"CC","CC",6,"Or"
25,0,Polysyndeton,"And",913,0,3,"CC","CC",4,"And"
25,1,Polysyndeton,"And",914,0,3,"CC","CC",2,"And"
25,2,Polysyndeton,"And",915,0,3,"CC","CC",2,"And"
25,3,Polysyndeton,"And",916,0,3,"CC","CC",2,"And"
25,4,Polysyndeton,"And",917,0,3,"CC","CC",3,"And"
25,5,Polysyndeton,"And",918,0,3,"CC","CC",5,"And"
25,6,Polysyndeton,"And",919,0,3,"CC","CC",4,"And"
25,7,Polysyndeton,"And",920,0,3,"CC","CC",3,"And"
25,8,Polysyndeton,"And",921,0,3,"CC","CC",3,"And"
25,9,Polysyndeton,"And",922,0,3,"CC","CC",3,"And"
26,0,Polysyndeton,"And",913,0,3,"CC","CC",4,"And"
26,1,Polysyndeton,"And",914,0,3,"CC","CC",2,"And"
26,2,Polysyndeton,"And",915,0,3,"CC","CC",2,"And"
26,3,Polysyndeton,"And",916,0,3,"CC","CC",2,"And"
