figure_id,token_id,type,word,sentence_id,left_edge,right_edge,tag,tag_equiv,depth,stem
0,0,Symploce,"in",356,16,18,"IN","IN",7,"in"
0,1,Symploce,"it",356,36,38,"PRP","WP",1,"it"
0,2,Symploce,"In",358,0,2,"IN","IN",4,"In"
0,3,Symploce,"it",358,38,40,"PRP","WP",2,"it"
1,0,Symploce,"my",547,15,17,"PRP$","WP",1,"my"
1,1,Symploce,"love",547,17,21,"NN","NN",1,"love"
1,2,Symploce,"my",549,7,9,"PRP$","WP",1,"my"
1,3,Symploce,"love",549,9,13,"NN","NN",1,"love"
2,0,Symploce,"When",883,0,4,"WRB","RB",8,"When"
2,1,Symploce,"'d",883,34,36,"MD","MD",1,"'d"
2,2,Symploce,"When",885,0,4,"WRB","RB",5,"When"
2,3,Symploce,"'d",885,35,37,"NNP","NN",1,"'d"
3,0,Symploce,"I",883,4,5,"PRP","WP",7,"I"
3,1,Symploce,"'d",883,34,36,"MD","MD",1,"'d"
3,2,Symploce,"I",885,23,24,"PRP","WP",2,"I"
3,3,Symploce,"'d",885,35,37,"NNP","NN",1,"'d"
4,0,Symploce,"Three",1448,0,5,"CD","CD",3,"Three"
4,1,Symploce,"'d",1448,39,41,"MD","MD",4,"'d"
4,2,Symploce,"Three",1450,0,5,"NNP","NN",5,"Three"
4,3,Symploce,"'d",1450,37,39,"NNP","NN",1,"'d"
5,0,Symploce,"Three",1448,0,5,"CD","CD",3,"Three"
5,1,Symploce,"'d",1448,39,41,"MD","MD",4,"'d"
5,2,Symploce,"three",1450,20,25,"CD","CD",2,"three"
5,3,Symploce,"'d",1450,37,39,"NNP","NN",1,"'d"
6,0,Symploce,"when",1778,6,10,"WRB","RB",4,"when"
6,1,Symploce,"thou",1778,10,14,"PRP","WP",2,"thou"
6,2,Symploce,"st",1778,33,35,"NN","NN",1,"st"
6,3,Symploce,"when",1780,19,23,"WRB","RB",3,"when"
6,4,Symploce,"thou",1780,23,27,"PRP","WP",2,"thou"
6,5,Symploce,"st",1780,38,40,"NN","NN",1,"st"
