line1,line2,line3,line4,line5
"When I'm old and mankey,",I'll never use a hanky.,I'll wee on plants,and soil my pants,and sometimes get quite cranky.
There once was a man called Costello,A silly Vaudevillian fellow,He expired this day,So this tribute we pay,To a man who was shaped like a cello
He quit high school and moved to L.A.,Found some work and decided to stay,Soon he carved out a niche,With a chance to get rich,From the comedy roles he could play
He teamed up with a comic named Bud,Who up until then was a dud,They created some skits,With their wiles and their wits,"That were funny, just like Elmer Fudd"
"""Who's on First"" was a great bit of jest",That many still think was the best,That has ever been done,In the annals of fun,And can still make us laugh when we're stressed
Lou Costello showed wonder and glee,When we saw him each week on TV,With his deviant mind,He was one of a kind,Such a jolly good fellow was he
Why do we have homework after school?,This is so uncool.,I so want to cry,I want to deny,All of this homework after school.
"There was an Old Man with a beard,","Who said, 'It is just as I feared!","Two Owls and a Hen,","Four Larks and a Wren,",Have all built their nests in my beard!'
"There was an Old Person of Ischia,",Whose conduct grew friskier and friskier;,"He dance hornpipes and jigs,","And ate thousands of figs,",That lively Old Person of Ischia.
"There was an Old Man in a boat,","Who said, 'I'm afloat, I'm afloat!'","When they said, 'No! you ain't!'","He was ready to faint,",That unhappy Old Man in a boat.
"There was a Young Lady of Hull,",Who was chased by a virulent bull;,"But she seized on a spade,","And called out, 'Who's afraid?'",Which distracted that virulent bull.
"There was an Old Person of Ems,",Who casually fell in the Thames;,And when he was found,"They said he was drowned,",That unlucky Old Person of Ems.
"There was an Old Man who said, 'Hush!",I perceive a young bird in this bush!',"When they said, 'Is it small?'","He replied, 'Not at all!",It is four times as big as the bush!'
"There was a Young Lady of Russia,",Who screamed so that no one could hush her;,"Her screams were extreme,","No one heard such a scream,",As was screamed by that lady of Russia.
"There was an Old Person of Ewell,",Who chiefly subsisted on gruel;,But to make it more nice,"He inserted some mice,",Which refreshed that Old Person of Ewell.
"There was an old man in a tree,",Whose whiskers were lovely to see;,"But the birds of the air,","Pluck'd them perfectly bare,",To make themselves nests on that tree.
There is a Young Lady whose nose,Continually prospers and grows;,"When it grew out of sight,","she exclaimed in a fright,","""Oh! Farewell to the end of my nose!"""
"There was an Old Person of Dean,",Who dined on one pea and one bean;,"For he said,","""More than that would make me too fat,""",That cautious Old Person of Dean.
"There was an Old Person of Dover,",Who rushed through a field of blue Clover;,"But some very large bees,","Stung his nose and his knees,",So he very soon went back to Dover.
"There was an Old Man of Peru,",Who watched his wife making a stew;,"But once by mistake,","In a stove she did bake,",That unfortunate Man of Peru.
"There was a Young Lady whose bonnet,",Came untied when the birds sate upon it;,But she said: 'I don't care!,All the birds in the air,Are welcome to sit on my bonnet!'
There's a lady in each of our lives,Who endured all the lows and the highs,That her children went through,Like the mumps or the flu,Or the joy of a pleasant surprise
She strengthened our family ties,And wiped away tears from our eyes,She forgave all our flaws,And our social faux pas,And she baked really great apple pies
She saw through almost all of our lies,And plied us with sodas and fries,When our manners were good,And we did what we should,She was righteous and caring and wise
"So to Mothers, both present and past",For the many good deeds you've amassed,I honor you all,With this verse on my wall,And I hope that your day is a blast
There once was a fish who could talk.,He wanted to learn how to walk.,"He got out from the sea,","Fell right onto me,",And I nearly died from great shock.
Easter weekend's a time when we feast,On a turkey that's freshly deceased,Or a slow roasted duck,That has run out of pluck,Or a lamb that's been recently fleeced
Many places are holding parades,With traffic cut off by blockades,As folks line the streets,And as cops walk the beats,Of their city and town promenades
Many candies and eggs will be hid,So that many a cute little kid,Can damage their teeth,And their gums underneath,In a sugary takeover bid
"As for me, I'll watch sports on TV",While indulging in crackers with Brie,Washing down with some suds,Such as Molsons or Buds,Then I'll empty myself when I pee
So I hope you all have a good Easter,As you sit in your den on your keester,Or chill out with your chums,Or be flapping your gums,On the phone with your brother or seester
There once was a lady named Rose,Who couldn't stand weight on her toes.,She cut holes in her sheet,And stuck through her feet,But slept poorly because her toes froze.
There was also a man named Steven,Who had to have everything even.,All his friends came in twos--,"Muslims, Catholics and Jews--",But one God he just couldn't believe in.
Another man was named Dean.,He wouldn't eat anything green.,His doctor then said,"""You've mixed up green and red","And been feasting on peas and green beans."""
Perfection is an ideal,Which to me simply doesn't appeal.,We all have our quirks,"But hey, whatever works.",They make us more interesting I feel.
There once was a man from Greece,He was incredibly obese,He rolled round the world,crushing all boys and girls,then fell into a vat of grease
Accept that to suffer is life,"That done, you don't focus on strife",The good - one enjoys,The bad - background noise,The ugly - my neighbor's fat wife
The actor we called Dudley Moore,Was a guy we all came to adore,With his charm and his cuteness,And comic astuteness,He left all his fans wanting more
In East London wee Dudley arrived,Where warm beer and bad food are contrived,With club feet he was born,Which brought meanness and scorn,So for over-achievement he strived
At music young Dudley excelled,And in lofty esteem he was held,When he played for a crowd,Both his parents were proud,As his talent and confidence swelled
But music was not his first choice,As a way to make people rejoice,So he went for auditions,For acting positions,And soon could afford a Rolls Royce
"With Bo Derek, in ""10"", he was randy",In Arthur he guzzled much brandy,Arthur 2 was so-so,But made plenty of dough,Like the movies of Jessica Tandy
Dudley Moore passed away on this date,And he left a substantial estate,We enjoyed his great wit,He was one funny Brit,With a nice head of hair on his pate
A woman in liquor production,Owns a still of exquisite construction.,The alcohol boils,Through magnetic coils.,She says that it's 'proof by induction.'
"There was a young man from Elora,","Who married a girl called Lenora,",But he had not been wed,"Very long till he said,","`Oh, drat it! I've married a snorer!'"
"There once was a corpulent carp,","Who wanted to play on a harp,","But to his chagrin,",So short was his fin,That he couldn't reach up to C sharp.
An oyster from Kalamazoo,"Confessed he was feeling quite blue,","`For,' says he, `as a rule.","When the weather turns cool,",I invariably get in a stew!'
"Said a bicycling fellow, Now, then,",I will ride like the real racing men!',"But he got into trouble,",For he bent himself double.,And couldn't bend back again.
A king who began on his reign.,"Exclaimed with a feeling of peign,","`Though I'm legally heir,",No one seems to ceir,That I haven't been born with a breign.'
"There was a young man of Devizes,","Whose ears were two different sizes,",The one that was small,"Was no use at all,",But the other won several prizes.
There was a young fellow who sat,Quite thoughtlessly flat on his hat.,He reposed there a while,"And so altered its style,",That he uses it now for a mat.
"I know a disgusting old man,",Who eats just as much as he can.,He covers his vest,With remains of the best,Of the gravy and chicken and ham.
A distinguished old military Colonel,"Once started to publish a jolonel,",But soon it went bust,He gave up in disgust,"Tor,' said he, 'the expense is infolonel.'"
"There was once a maiden named Rhoda,","Who perfectly doted on soda,","She drank so much fizz,","Well, it's none of my biz,",But she's lucky it didn't explode her.
"There's a woman called Madame Tussaud,",Slow sewers she shows how to sew;,"She says, 'If, So-and-so,","You sew so, you'll sew slow,","And you'll only sew so-so, Sew so.'"
"A maid who is slightly antique,",Was grossly insulted last wique.,"Her best fellow said,","`It is time we were wed,'","And now, it is said, they don't spique."
"There was an old man up in Maine,",Who stood all one day in the rain.,Then at home in a strife.,"He was told by his wife,",`You ought to go out there again!'
"There was a young lad of Calcutta,",Whenever he spoke he would stutter.,"To his teacher, said he,",please tell me.,Is a buttress a feminine butter?'
A fellow who lived on the Rhine,Saw a fish and decided to dine.,But how to invite him? —,"`Ah,' he said, 'I will write him!'",So he sat down and dropped him a line!
"He ordered a porterhouse steak,","Sauerkraut, mince pie and fruit cake","Then sat down to dine,","Drank three kinds of wine,",And retired with a bad stomach ache.
And if all the old aunties will squeal-o,"Because statues don't wear a great deal-o,",Then for heaven's sake ask,That a loose-fitting basque,Be made for the Venus de Milo!
"A Spaniard whose name was Jose,",Jad justled to get in jis je;,He took off jis jat,And jappily sat,"Upon the fence, crying `Jooray!'"
A young fellow wore some pyjamas.,Made entirely of wool from the llamas.,The unmanly effect,"Made people suspect,",That the outfit was really his mama's.
"A lady who lived at Bordeaux,",Had a corn on her right little teaux;,She borrowed a razor.,For her skill we must praise her.,"For the corn is gone, (so is her teaux)."
"There was a young maiden of Michigan,","To meet her, I never would wish again.",She gobbled ice-cream.,"Till with pain she would scream,",Then she would eat a whole dish again.
